scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
"S001","BP001","command","","label:START","","","","","","","","","","","","",""
"S001","BP002","narration","","23:38。北桥总站的雨把末班时刻表洗得发亮，售票口只剩一盏白灯。","","","镜头从湿站牌推到售票窗口","bg_ticket_window_rain","bgm_last_bus_low","sfx_rain_window","","","","","","OBJ_wet_ticket;FS_wet_ticket","click_function=establish_time_pressure"
"S001","BP003","command","","stage:night_shift_idle","","","验票机绿灯闪一下，又灭回去","bg_ticket_window_inside","bgm_last_bus_low","sfx_machine_idle","","","","","","OBJ_green_stamp","click_function=screen_state"
"S001","BP004","thought","CHR_linyu","老许今晚第三次吞废票。还有十七分钟，系统结算，卷帘门落下，我就能回宿舍。","inner","tired","林屿用指节敲了敲验票机左侧","bg_ticket_window_inside","bgm_last_bus_low","sfx_knuckle_machine","","","","","","CHR_linyu;OBJ_green_stamp","click_function=private_goal"
"S001","BP005","dialogue","CHR_linyu","别闹。你比我多拿两年工龄，撑到末班。","machine_mutter","dry","他把一张废票塞进读码口试机","bg_ticket_window_inside","bgm_last_bus_low","sfx_ticket_feed","","","","","","CHR_linyu;OBJ_green_stamp","click_function=character_charm"
"S001","BP006","narration","","售票窗外，一把橘色伞停住。伞尖先伸进排水槽，像小心翼翼试探水深。","","","橘色伞坠在窗口下方晃动","bg_ticket_window_rain","bgm_last_bus_low","sfx_umbrella_drip","","","","","","FS_orange_charm;CHR_qiaomeng","click_function=entrance"
"S001","BP007","dialogue","CHR_qiaomeng","请问，还办理业务吗？小业务，很小，就比一枚硬币大一点点。","bright_probe","smile","乔萌把脸凑到售票窗下沿，指节轻敲玻璃","bg_ticket_window_rain","bgm_last_bus_low","sfx_window_tap","","","","","","CHR_qiaomeng","click_function=voice_first_contact"
"S001","BP008","dialogue","CHR_linyu","末班前只办补票和失物登记。改签明早七点","procedure","neutral","林屿看了一眼墙上电子钟","bg_ticket_window_inside","bgm_last_bus_low","sfx_clock_tick","","","","","","CHR_linyu","click_function=boundary"
"S001","BP009","dialogue","CHR_qiaomeng","欸？可它已经在我包里排队三年了，明早七点对它很残忍吧？","cute_push","blink","乔萌把透明饭卡套贴到窗口小孔前","bg_ticket_window_rain","bgm_last_bus_low","sfx_card_sleeve","","","","","","CHR_qiaomeng;OBJ_wet_ticket","click_function=playful_pressure"
"S001","BP010","dialogue","CHR_linyu","三年不算排队。算逾期保存。","dry_reply","flat","他没有伸手接票，只把读码口灯按亮","bg_ticket_window_inside","bgm_last_bus_low","sfx_button_soft","","","","","","CHR_linyu;OBJ_green_stamp","click_function=banter"
