scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S001,B001,command,,label:START,,,,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,THR_rain_shed,开场标签
S001,B002,command,,stage:rain_shed_open,,,雨棚备用灯闪一下，值班桌亮起一角,bg_rain_shed_evening,bgm_lost_items_rain,sfx_rain_drip,,,,,,OBJ_logbook;FS_rain_alarm,演出开场
S001,B003,narration,,北门雨棚漏水，水滴正好落在失物招领四个字中间。,,,雨水打在塑封规则上,bg_rain_shed_evening,bgm_lost_items_rain,sfx_rain_drip,,,,,,THR_rain_shed;FS_rain_alarm,环境可操作
S001,B004,narration,,程砚把登记簿翻到七号伞那页，红章压住待核验栏。,,,红章压在纸角,bg_rain_shed_evening,bgm_lost_items_rain,sfx_page_turn,,,,,,OBJ_stamp;OBJ_logbook;FS_ticket_7,职业仪式
S001,B005,thought,CHR_chengyan,取件码还剩四分钟。票根湿成这样，系统会先装作没看见。,inner_check,neutral,程砚拿起扫码枪,bg_rain_shed_evening,bgm_lost_items_rain,sfx_scanner_ready,,,,,,THR_ticket;OBJ_ticket_scanner,心理与物件
S001,B007,command,,stage:lujin_enter,,,雨衣袖口甩出一串水,bg_rain_shed_evening,bgm_lost_items_rain,sfx_plastic_raincoat,,,,,,CHR_lujin;THR_rain_shed,鹿今登场
S001,B008,dialogue,CHR_lujin,程值班，七号小伞还在吗？扫码枪先别凶我！,lively_plead,bright,鹿今把跑腿包抱到胸前,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,CHR_chengyan;OBJ_ticket_scanner;OBJ_umbrella_7,鹿今问号感叹
S001,B009,dialogue,CHR_chengyan,取件票。手别压姓名栏。,流程冷幽默,neutral,程砚伸手到桌线前,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,OBJ_ticket_slip;THR_ticket,流程压人
S001,B010,dialogue,CHR_lujin,压了吗？欸，这叫防水失败，不叫作案现场。,撒娇岔题,cover,鹿今把票根往回缩一指,bg_rain_shed_evening,bgm_lost_items_rain,sfx_paper_wet,,,,,,OBJ_ticket_slip;ARC_lujin,岔题
S001,B011,dialogue,CHR_chengyan,票根给我。雨棚不收口头验证码。,流程冷幽默,dry,程砚指节敲登记簿,bg_rain_shed_evening,bgm_lost_items_rain,sfx_knuckle_book,,,,,,OBJ_logbook;THR_ticket,行政冷幽默
S001,B012,dialogue,CHR_lujin,你们雨棚好正式，连伞都要考编啊？,撒娇岔题,teasing,鹿今把票根举到灯下,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,OBJ_ticket_slip;THR_rain_shed,生活颗粒
S001,B013,thought,CHR_chengyan,她笑得太快。票根的字被手心捂住，编号 7 倒是干净。,,watchful,程砚看向她的手心,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,FS_ticket_7;OBJ_ticket_slip,心理连续
S001,B014,dialogue,CHR_chengyan,七号伞本人暂离。你是谁？,流程冷幽默,test,他用扫码枪点了点票根,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,OBJ_umbrella_7;THR_ticket,反问
S001,B015,dialogue,CHR_lujin,跑腿！校园版，带雨水特效的那种。,撒娇岔题,cover,鹿今举手像报到,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,CHR_lujin;ARC_lujin,活泼伪装
S001,B016,dialogue,CHR_chengyan,跑腿单给我。,流程冷幽默,procedure_control,程砚把登记簿推近,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,OBJ_logbook;THR_ticket,短句
S001,B017,dialogue,CHR_lujin,单在心里，湿了也不给赔。程值班，四分钟可以吗？,撒娇岔题,bargain,鹿今把票根折成小船,bg_rain_shed_evening,bgm_lost_items_rain,sfx_paper_fold,,,,,,OBJ_ticket_slip;CHR_chengyan,撒娇交易
S001,B018,command,,stage:scanner_ready,,,扫码枪底座亮红灯,bg_rain_shed_evening,bgm_lost_items_rain,sfx_scanner_ready,,,,,,OBJ_ticket_scanner;FS_rain_alarm,演出节拍
S001,B019,command,,stage:scanner_delay_on_ticket,,,红光卡在票根边,bg_rain_shed_evening,bgm_lost_items_rain,sfx_scanner_delay,,,,,,OBJ_ticket_scanner;FS_ticket_7,证据
S001,B020,dialogue,CHR_chengyan,四分钟是系统的，不归我批,流程冷幽默,dry_refusal,程砚把票根压平,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,THR_ticket;OBJ_ticket_scanner,程砚未闭合收束
S001,B021,dialogue,CHR_lujin,那你跟系统说说嘛，你是红章先生亲属吧？,撒娇岔题,flatter,鹿今朝红章眨眼,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,OBJ_stamp;CHR_chengyan,鹿今钩子
S001,B022,dialogue,CHR_chengyan,红章先生今天心情一般。,流程冷幽默,dry_jab,程砚拇指沾到印油,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,OBJ_stamp;ARC_chengyan,物件外号
S001,B023,dialogue,CHR_lujin,我看出来了，它脸都红了！,撒娇岔题,playful,鹿今笑着后退半步,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,OBJ_stamp;THR_rain_shed,可爱回应
S001,B024,thought,CHR_chengyan,玩笑被她推到桌上，手还压着姓名栏。取件码像一张喘不过气的湿纸。,,suspicion,程砚盯着票根空白处,bg_rain_shed_evening,bgm_lost_items_rain,sfx_rain_drip,,,,,,OBJ_ticket_slip;FS_ticket_7,心理证据
S001,B025,dialogue,CHR_chengyan,姓名栏抬一下。,流程冷幽默,procedure_control,程砚点了点她的手背前方,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,OBJ_ticket_slip;THR_ticket,逼近
S001,B026,dialogue,CHR_lujin,不抬会怎样？扣我跑腿信用分？,撒娇岔题,deflect,鹿今把手掌摊开一点又收回,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,CHR_lujin;THR_ticket,回避
S001,B027,dialogue,CHR_chengyan,会进待核验。,流程冷幽默,procedure_threat,程砚翻到待核验栏,bg_rain_shed_evening,bgm_lost_items_rain,sfx_page_turn,,,,,,OBJ_logbook;THR_ticket,流程威胁
S001,B028,dialogue,CHR_lujin,待核验听起来像关小黑屋……伞会害怕的。,撒娇岔题,cute_stall,鹿今把伞袋往自己这边勾,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,OBJ_umbrella_7;ARC_lujin,活泼压力
S001,B029,dialogue,CHR_chengyan,七号伞心理状态暂不登记。,流程冷幽默,dry,程砚把伞袋勾回来,bg_rain_shed_evening,bgm_lost_items_rain,sfx_cloth_rub,,,,,,OBJ_umbrella_7;OBJ_logbook,干冷
S001,B030,dialogue,CHR_lujin,好冷！但有点可靠，糟糕。,撒娇岔题,slip_play,鹿今抬手捂住嘴,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,CHR_chengyan;ARC_lujin,俏皮
S001,B031,command,,stage:umbrella_inspect,,,程砚拖出七号长柄伞,bg_rain_shed_evening,bgm_lost_items_rain,sfx_umbrella_slide,,,,,,OBJ_umbrella_7,物件上屏
S001,B032,narration,,七号伞比别的失物干净，伞柄却有一道新拧痕。,,,伞柄对准备用灯,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,OBJ_umbrella_7;FS_recorder,环境证据
S001,B033,dialogue,CHR_chengyan,伞柄松过。,流程冷幽默,test,程砚拇指抵住卡扣,bg_rain_shed_evening,bgm_lost_items_rain,sfx_plastic_creak,,,,,,OBJ_umbrella_7;FS_recorder,指出证据
S001,B034,dialogue,CHR_lujin,旧伞嘛，关节不好，跟人一样。,撒娇岔题,cover,鹿今笑着抬肩,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,OBJ_umbrella_7;ARC_lujin,遮掩
S001,B035,dialogue,CHR_chengyan,你很熟？,流程冷幽默,test,程砚停住卡扣,bg_rain_shed_evening,bgm_lost_items_rain,,,,,,,CHR_lujin;OBJ_umbrella_7,逼问
