scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S001,CP001,narration,,卷帘门降到一半，二楼走廊的荧光灯一闪一闪，复印机还在吐热气,,,镜头从半降卷帘门推入复印店,bg_copy_shop_night,bgm_copy_shop,sfx_fan,,,,,,THR_contract_order,
S001,CP002,narration,,纸刀红线下压着合同单，热胶机的绿灯亮得像没下班,,,特写纸刀、合同单、热胶机,bg_copy_shop_counter,bgm_copy_shop,sfx_glue_beep,,,,,,OBJ_contract_order,
S001,CP003,thought,CHR_xucheng,二十一点四十八。合同单还压在纸刀下，签完这格就走。,inner,tired,许承把硬币一枚枚扣进塑料盒,bg_copy_shop_counter,bgm_copy_shop,sfx_coin,,,,,,ARC_xucheng_clean_to_keep,
S001,CP004,dialogue,CHR_tangli,救命——小许钉！你们店还有没有一口气！,burst,bright,唐栗从卷帘门底下弯腰钻进来，怀里抱着牛皮纸袋,bg_copy_shop_night,bgm_copy_shop,sfx_shutter,,,,,,ARC_tangli_joke_to_plain_request,
S001,CP005,dialogue,CHR_xucheng,有半口。闭店前十二分钟，你要印几份？,check,neutral,许承停住清点动作，手还按着硬币盒,bg_copy_shop_counter,bgm_copy_shop,sfx_coin,,,,,,ARC_xucheng_clean_to_keep,
S001,CP006,dialogue,CHR_tangli,三十份节目册，骑马钉，终版。真的终版，拜托拜托！,request,pleading,唐栗把 U 盘和取件码一起推到柜台上,bg_copy_shop_counter,bgm_copy_shop,sfx_usb,,,,,,OBJ_usb_drive;THR_contract_order,
S001,CP007,dialogue,CHR_xucheng,文件名叫终版四。,dry,flat,许承把 U 盘插进电脑，屏幕反光照到他的眼镜,bg_copy_shop_counter,bgm_copy_shop,sfx_keyboard,,,,,,FS_page_seven_timestamp,
S001,CP008,dialogue,CHR_tangli,那是因为终版三已经死在群文件里啦。终版四比较新鲜嘛,deflect,grin,唐栗双手合十，袖口上还沾着舞台胶带,bg_copy_shop_counter,bgm_copy_shop,sfx_keyboard,,,,,,ARC_tangli_joke_to_plain_request,
S001,CP009,thought,CHR_xucheng,终版四。通常这种文件最会出事。,inner,watching,许承点开属性，看了一眼修改时间,bg_copy_shop_screen,bgm_copy_shop,sfx_mouse,,,,,,FS_page_seven_timestamp;ARC_xucheng_clean_to_keep,
S001,CP010,dialogue,CHR_xucheng,先打样张。页码、出血线、骑马钉位都要看。,check,neutral,许承把打印队列切到一份,bg_copy_shop_counter,bgm_copy_shop,sfx_printer_start,,,,,,OBJ_binding_stapler;THR_contract_order,
S001,CP011,dialogue,CHR_tangli,小许钉你真的好像人形打印前检查清单欸。可以，演得很可信！,tease,smile,唐栗踮脚去看屏幕，又被纸刀红线挡住,bg_copy_shop_counter,bgm_copy_shop,sfx_fan,,,,,,ARC_tangli_joke_to_plain_request,
S001,CP012,dialogue,CHR_xucheng,刀口别碰。上次有人把手指当出血线。,warn,flat,许承把纸刀护板推回去,bg_copy_shop_counter,bgm_copy_shop,sfx_cutter,,,,,,OBJ_paper_cutter;ARC_xucheng_clean_to_keep,
S001,CP013,dialogue,CHR_tangli,好嘛，我的手指今天只负责鼓掌，不负责牺牲,playful,obedient,唐栗立刻把手举起来，指尖还夹着一小截胶带,bg_copy_shop_counter,bgm_copy_shop,sfx_tape,,,,,,ARC_tangli_joke_to_plain_request,
S001,CP014,command,,stage:sample_printing;,,,复印机开始走纸，白纸一张张从出纸口滑出来,bg_copy_shop_machine,bgm_copy_shop,sfx_printer,,,,,,OBJ_jammed_page;THR_wrong_page,
S001,CP015,dialogue,CHR_tangli,它怎么这么慢？楼下已经在排返场了，鼓点都踩我心口上了！,panic,cute_panic,唐栗侧耳听楼下排练声，脚尖跟着鼓点乱点,bg_copy_shop_counter,bgm_copy_shop,sfx_drum_downstairs,,,,,,ARC_tangli_joke_to_plain_request,
S001,CP016,dialogue,CHR_xucheng,机器不吃鼓点。它吃纸。,dry,neutral,许承盯着出纸口，伸手接住前六页,bg_copy_shop_machine,bgm_copy_shop,sfx_printer,,,,,,ARC_xucheng_clean_to_keep,
S001,CP017,command,,stage:paper_jam;,,,第七页卡在定影器口，复印机亮起红灯,bg_copy_shop_machine,bgm_copy_shop,sfx_jam,,,,,,OBJ_jammed_page;FS_ruanzhou_light_cue,
S001,CP018,dialogue,CHR_tangli,不是吧，它也挑第七页？这机器有舞台审美？,panic,wide_eye,唐栗半蹲下去看红灯，又不敢碰机器,bg_copy_shop_machine,bgm_copy_shop,sfx_warning,,,,,,THR_wrong_page;ARC_tangli_joke_to_plain_request,
S001,CP019,dialogue,CHR_xucheng,别拉。我来,command,focused,许承打开侧盖，用镊子夹住卡住的纸角,bg_copy_shop_machine,bgm_copy_shop,sfx_panel_open,,,,,,OBJ_jammed_page;ARC_xucheng_clean_to_keep,
S001,CP020,thought,CHR_xucheng,第七页。她刚才听见这个数字，脚尖停了一下。,inner,alert,许承从纸边看到没有定住的碳粉,bg_copy_shop_machine,bgm_copy_shop,sfx_fan,,,,,,FS_page_seven_timestamp;THR_removed_credit,
S001,CP021,command,,stage:jammed_page_revealed;,,,卡纸被抽出，页脚有一行旧署名和灯 cue 17,bg_copy_shop_machine,bgm_copy_shop,sfx_paper_pull,,,,,,FS_ruanzhou_light_cue;OBJ_jammed_page,
S001,CP022,dialogue,CHR_xucheng,第七页不是终版四的页面。,probe,low,许承把卡纸放到灯下，没让唐栗立刻拿走,bg_copy_shop_counter,bgm_copy_shop,sfx_lamp,,,,,,THR_wrong_page;FS_page_seven_timestamp,
