; Generated by VN Fusion Workbench
label:START;
; SC002 action=镜头从门口湿脚印推到七号机退币口
:00:17，晚潮自助洗衣只剩七号机还亮着。;
; SC003 action=特写弯硬币卡在退币口
:退币口吐着半枚硬币，像咬住一颗坏牙。;
; SC004 thought_action=闻舟用螺丝刀轻敲退币口
:（七号机门圈还烫，地砖上的水线往插座那边爬；要是再漏一次，我这个月夜班钱就改名叫地板维修基金。）;
; SC005 expression=sharp action=手机外放贴在折叠台边
罗姨:小闻，电闸看着点！七号机要是再冒水，明早我拿拖把敲你门。;
; SC006 expression=flat action=闻舟把螺丝刀换到左手
闻舟:已经关热烘。退币口卡了一枚弯的。;
; SC007 expression=practical action=电话那头传来翻账本声
罗姨:弯的别硬撬，撬坏算你暴力执法。抽屉有毛巾，地上水先擦。;
; command SC008: stage:door_bell_wet
; SC009 expression=bright action=夏停半个身子探进店里，塑料袋挂在腕上
夏停:七号大爷还接客吗？我带了六枚硬币和一颗真心。;
; SC010 expression=neutral action=闻舟没有起身，继续盯着退币口
闻舟:只接维修。营业到 00:30，你迟了十三分钟。;
; SC011 expression=grin action=夏停把湿发往耳后一别，水珠甩到地砖上
夏停:欸，十三分钟也叫迟？小闻师傅，你这店规也太青春期了吧。;
; SC012 expression=flat action=闻舟把退出来的硬币排成一线
闻舟:快洗二十六分钟；你只有十三分钟，数学没救。;
; SC013 expression=smile action=她把塑料袋往身后藏了半寸
夏停:我可以等断灯。黑灯洗衣，听起来还挺都市传说欸？;
; SC014 expression=dry action=闻舟抬眼看了一下监控红点
闻舟:黑灯以后监控红外开。你都市，你自己传说。;
; SC015 expression=bright action=她把六枚硬币摊在折叠台上
夏停:那我申请成为一则很守法的传说。七号机，二十六分钟，拜托啦！;
; SC016 expression=short action=闻舟数完硬币，手指停在空位上
闻舟:差一枚？;
; SC017 expression=small_smile action=夏停从袖口里捏出一枚弯硬币
夏停:不差。压轴选手在这里。;
; SC018 thought_action=闻舟的手指停在硬币上方
:（弯硬币贴着投币口，缺口朝上。我的手停在硬币上方，旧电玩城那台吞币机也咬过它。）;
; SC019 expression=low action=闻舟用手背挡住投币口
闻舟:这枚别投。七号机会吞。;
; SC020 expression=quick action=夏停把硬币往回扣，指尖发白
夏停:它以前被吞过，经验丰富，心理素质比我强吧？;
; SC021 expression=flat action=闻舟看向她手腕上的便利店塑料袋
闻舟:洗什么？;
; SC022 expression=too_fast action=夏停把袋口拧紧，笑得很快
夏停:开衫，房东阿姨的，审美比较奶油；洗完还我一条命。;
; SC023 expression=neutral action=闻舟把蓝账夹放到折叠台上
闻舟:开机前查口袋，行吗？;
; SC024 expression=smile_crack action=夏停伸手按住袋口
夏停:别查，好嘛？口袋里就纸巾，洗烂了我赔七号大爷精神损失费，好不好？;
; SC025 expression=dry action=闻舟把她的手轻轻推开，不碰手指
闻舟:纸巾洗烂，整桶人都恨你。店规。;
; SC026 expression=light action=她后退半步，鞋跟踩进门口水印
夏停:你们店规管得好宽，连陌生阿姨的隐私都要洗前体检呀？;
; SC027 expression=flat action=闻舟打开塑料袋，露出奶油色开衫
闻舟:陌生阿姨会拿你的弯硬币付钱？;
; SC028 expression=bright action=夏停把笑补上，眼睛却避开开衫口袋
夏停:她信任我嘛。我这个人，脸看着就很适合代付。;
; SC029 thought_action=闻舟拎起开衫一角，手指停在袖口
:（开衫很轻，袖口却坠着水。不是雨水，雨水不会带消毒水味。）;
; SC030 thought_action=镜头靠近口袋边缘发白的纸角
:（右口袋鼓着一块薄纸。热敏纸泡过水会卷边，卷成这种没出息的样子。）;
; SC031 expression=low action=闻舟两指夹住纸角，没有立刻抽
闻舟:口袋有纸。先别抢;
; SC032 expression=fast action=夏停伸手要抢，笑声卡住
夏停:纸就纸嘛，世上每天都有纸牺牲。你看小票、传单、我夜校作业——;
; SC033 expression=flat action=闻舟把纸角按在蓝账夹边缘
闻舟:热敏单遇热会黑，知道吗？;
; SC034 expression=small_laugh action=她的手停在半空，没再往前
夏停:黑就黑。字丑，黑掉算美容啦。;
; SC035 expression=low action=闻舟第一次叫她全名
闻舟:夏停。;
; SC036 expression=thin_smile action=夏停低头数硬币，数到第四枚又重来
夏停:闻舟，别用看故障灯的眼神看我。;
; command SC037: stage:phone_interrupt
; SC038 expression=rapid action=电话那头有人拍桌，团购小票哗啦响
罗姨:小闻，监控里那姑娘淋成落汤面了，先拿毛巾；七号机别开热烘！;
; SC039 expression=startled action=夏停立刻站直，手背擦了一下鼻尖
夏停:罗姨晚上好！我没有落汤，顶多是半碗！;
; SC040 expression=surprised action=电话那头翻账声停住
罗姨:夏停？哎呀，你这孩子，大半夜洗什么？;
; SC041 expression=bright action=夏停把硬币拢进掌心
夏停:房东阿姨的开衫。她睡得早，衣服醒得急。;
; SC042 expression=controlled action=罗姨咳了一声，声音绕开开衫
罗姨:房东阿姨穿这个颜色啊……行，小闻，别高温。;
; SC043 expression=flat action=闻舟把热敏纸从口袋里抽出一半
闻舟:听见了。;
; SC044 expression=quiet action=夏停的笑没补回来，拇指按住袋口线头
夏停:别抽完，拜托啦；留它在里面，洗完它什么都不记得。;
; SC045 thought_action=特写热敏纸边缘和夏停手指
:（热敏单露出一行时间，23:41。再往后是一半姓名，夏青——纸边被她捏皱了。）;
; SC046 thought_action=闻舟把蓝账夹挪到热敏纸下方
:（热敏纸压在账夹边，字还露着 23:41；她要洗掉的，是一个会被妹妹闻见的夜晚。）;
; SC047 expression=low action=闻舟把七号机面板点亮，温度键闪红
闻舟:三种洗法。你选不了全部。;
; SC048 expression=small action=夏停把六枚硬币排成歪花，中间缺一枚
夏停:你说。先声明，太贵的我会哭，太慢的我会在你店里长蘑菇喔？;
; SC049 expression=flat action=闻舟点亮高温键，又按灭
闻舟:快洗加热烘，二十六分钟，味道淡，纸废。;
; SC050 expression=flat action=他点亮冷水键，红灯换成蓝灯
闻舟:先取纸再冷漂；三十六分钟，味道留一点，字能活。;
; SC051 expression=low action=闻舟打开蓝账夹，夹页露出维修单
闻舟:还有一种，我把纸夹账里，你自己决定明天要不要看。;
; SC052 expression=thin action=夏停抬眼，睫毛还挂着雨水
夏停:你这人开洗衣店，怎么洗法都像审讯欸。;
; SC053 expression=flat action=闻舟看了一眼电话外放
闻舟:我修机器，洗衣店是罗姨的；锅也大多是罗姨的。;
; command SC054: stage:choice_wash_method
; choice effect SC055: setVar:quick_hot_selected=true;
; choice effect SC055: setVar:trace_kept=false;
; choice effect SC055: setVar:heat_damage=heat_damage+2;
; choice effect SC055: setVar:xia_trust=xia_trust+1;
; choice effect SC055: setVar:shop_risk=shop_risk+1;
; choice effect SC056: setVar:receipt_saved=true;
; choice effect SC056: setVar:trace_kept=true;
; choice effect SC056: setVar:xia_trust=xia_trust+2;
; choice effect SC056: setVar:shop_risk=shop_risk+2;
; choice effect SC057: setVar:cold_wash_selected=true;
; choice effect SC057: setVar:trace_kept=true;
; choice effect SC057: setVar:heat_damage=heat_damage+0;
; choice effect SC057: setVar:xia_trust=xia_trust+1;
