"scene_id","beat_id","row_type","speaker","text","voice_target","expression","body_action","bg","bgm","sfx","choice_group","choice_text","choice_target","condition","effects","memory_refs","qa_notes"
"S001","S001-001","command","","changeBg:bg_convenience_store_typhoon.png","","","","","","","","","","","","","screen_state"
"S001","S001-002","command","","bgm:store_fridge_rain_low.ogg","","","","","","","","","","","","","screen_state"
"S001","S001-003","narration","","关店铃还差七分钟响。玻璃门被风顶着，一下一下撞回门吸。","","","姜洛把最后一张小票压平","","store_fridge_rain_low.ogg","door_rattle","","","","","","OBJ_store_bell","click_function=screen_state+deadline"
"S001","S001-004","narration","","小票机吐出半截纸，又卡住。纸尾卷在齿轮里，像一句没说完的找零。","","","姜洛伸手去拽纸尾","","","receipt_jam","","","","","","OBJ_receipt_printer","click_function=screen_state"
"S001","S001-005","dialogue","CHR_jiangluo","别卡。你今天已经吞了三张会员券，算工伤也轮不到你。","规矩感/自言自语","neutral","他用指节敲了敲小票机","","","","","","","","OBJ_receipt_printer","click_function=voice_intro+object_habit",
"S001","S001-006","narration","","门铃在雨声里炸了一下。一个人裹着透明雨衣钻进来，帽檐往下滴水，手里攥着一根弯掉的生日蜡烛。","","","监控红点亮在她肩后","","","door_bell","","","","","","OBJ_candle","click_function=entrance+new_info"
"S001","S001-007","dialogue","CHR_meitang","哇，店员小姜还在营业欸。请问小太阳出租吗？","轻快/试探","smile","梅糖把蜡烛竖在柜台上，蜡烛没站稳","","","","","","","","voice_meitang","click_function=reply_pressure+voice_intro",
"S001","S001-008","dialogue","CHR_jiangluo","打火机不出租。三块五，黄色壳。你要是叫它小太阳，另收命名费。","店规/接招","neutral","姜洛把收银台旁的打火机推到中线","","","","","","","","OBJ_lighter","click_function=reply_pressure+charm",
"S001","S001-009","dialogue","CHR_meitang","三块五买一颗太阳？你们店长终于想通了，开始抢劫天气。","调侃/躲闪","smile","她弯腰看价签，湿刘海滑下来又被她拨回去","","","","","","","","voice_meitang;relationship_probe;CHR_meitang","voice_meitang;relationship_probe;CHR_meitang",
"S001","S001-010","dialogue","CHR_jiangluo","台风天不讲价。还有六分钟关店。","规程/提醒","neutral","姜洛看了一眼墙钟，没有看她手上的蜡烛","","","","","","","","OBJ_store_bell","click_function=deadline_pressure",
"S001","S001-011","dialogue","CHR_meitang","六分钟够点蜡烛、许愿、被风吹灭、再骂一句天气。流程很完整嘛。","嘴硬/拖延","smile","她把蜡烛往收银台暖灯下挪半寸","","","","","","","","OBJ_candle;hidden_need;CHR_meitang","OBJ_candle;hidden_need;CHR_meitang",
"S001","S001-012","dialogue","CHR_jiangluo","生日蜡烛？","短问/失守","alert","姜洛的手停在扫码枪上","","","","","","","","MEM_S001_birthday","click_function=new_info+private_pressure_setup",
"S001","S001-013","dialogue","CHR_meitang","不是。是应急照明，长得比较有仪式感。","撒谎/可爱","guarded","梅糖捏住棉芯，蜡烛被她捏出一个小弯","","","","","","","","OBJ_candle","click_function=dodge+voice",
"S001","S001-014","dialogue","CHR_jiangluo","应急照明不用唱生日歌。","追问/笨拙","neutral","他低头扫打火机条码，扫码枪响得很小","","","","","","","","OBJ_lighter","click_function=reply_pressure",
"S001","S001-015","dialogue","CHR_meitang","那是高级款。会自动识别店员多管闲事。","反击/玩笑","smile","她抬眼看他，马上又看向天花板监控","","","","","","","","OBJ_camera","click_function=deflect+screen_state",
"S001","S001-016","narration","","监控红点闪了一下。备用电源提示灯从绿变黄。","","","收银屏右下角弹出“停电保护：三分钟”字样","","","power_warning","","","","","","OBJ_camera","click_function=screen_state+deadline"
