scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S001,TW001,command,,label:START,,,,,,,,,,,,,
S001,TW002,narration,,23:58 的三号窗口只剩半扇玻璃亮着,,,镜头从湿漉漉的售票大厅推向窗口,bg_station_window_night,bgm_window_late,sfx_rain,,,,,,THR_refund_trace,
S001,TW003,narration,,章盒开着一条缝，退票失败章躺在红泥旁边,,,特写章盒和热敏打印机,bg_window_counter,bgm_window_late,sfx_printer_idle,,,,,,OBJ_refund_stamp;THR_red_stamp,
S001,TW004,thought,CHR_linqiao,票据箱还差最后一格，章盒钥匙压在左手下，交章时间已经贴到玻璃上了,inner,tired,林桥用左手拇指压住章盒钥匙,bg_window_counter,bgm_window_late,sfx_clock,,,,,,ARC_linqiao_rule_to_signature,
S001,TW005,dialogue,CHR_zhaobo,三号窗，章盒锁了没？听见没。,radio_call,impatient,对讲机红灯一跳一跳,bg_window_counter,bgm_window_late,sfx_radio,,,,,,THR_refund_trace;ARC_zhaobo_deny_to_leak,
S001,TW006,dialogue,CHR_linqiao,还差最后一笔日志。两分钟,report,flat,林桥把窗口日志翻到空白行,bg_window_counter,bgm_window_late,sfx_paper,,,,,,ARC_linqiao_rule_to_signature,
S001,TW007,command,,stage:window_knock;,,,玻璃外传来很轻的两下敲窗声,bg_station_window_night,bgm_window_late,sfx_knock,,,,,,THR_refund_trace,
S001,TW008,dialogue,CHR_mengyu,小窗口老师！先别落闸呀，救一下湿票人士！,burst,bright,孟雨把伞柄卡在窗口缝里，袖口滴水,bg_station_window_night,bgm_window_late,sfx_rain_drip,,,,,,ARC_mengyu_joke_to_name,
S001,TW009,dialogue,CHR_linqiao,窗口停办了。改签明早七点。,rule,neutral,林桥没有抬头，右手停在章盒盖上,bg_window_counter,bgm_window_late,sfx_clock,,,,,,ARC_linqiao_rule_to_signature,
S001,TW010,dialogue,CHR_mengyu,退票也不行嘛？我老板娘说过了今晚会扣我洗头钱。,plead_joke,smile,孟雨把手机壳压到柜台边缘,bg_window_counter,bgm_window_late,sfx_phone_tap,,,,,,ARC_mengyu_joke_to_name,
S001,TW011,dialogue,CHR_linqiao,票。,check,short,林桥伸手，手指停在玻璃缝内侧,bg_window_counter,bgm_window_late,sfx_glass,,,,,,OBJ_old_ticket;THR_refund_trace,
S001,TW012,dialogue,CHR_mengyu,欸，这么干脆？桥哥你们窗口有速通服务啊。,tease,grin,孟雨把票抽出一半，又立刻按住票角,bg_window_counter,bgm_window_late,sfx_paper_wet,,,,,,ARC_mengyu_joke_to_name;FS_mengzhou_name,
S001,TW013,dialogue,CHR_linqiao,别叫桥哥。票放平，二维码别再沾水,correct,flat,林桥把一张吸水纸推过去,bg_window_counter,bgm_window_late,sfx_paper_slide,,,,,,OBJ_old_ticket;ARC_linqiao_rule_to_signature,
S001,TW014,dialogue,CHR_mengyu,好嘛，林窗口，这样放够平吗？再平就要给它熨头发了。,playful,obedient,孟雨把旧票按在吸水纸上，指尖盖住缺角,bg_window_counter,bgm_window_late,sfx_rain_drip,,,,,,ARC_mengyu_joke_to_name,
S001,TW015,thought,CHR_linqiao,她护着票角。来退票的人通常护金额，护缺口的比较麻烦,inner,watching,林桥的视线停在她左手食指,bg_window_counter,bgm_window_late,sfx_clock,,,,,,FS_ticket_number_gap;ARC_linqiao_rule_to_signature,
S001,TW016,dialogue,CHR_linqiao,票号后四位。,check,neutral,林桥打开退票系统，光标停在查询框,bg_terminal_refund,bgm_window_late,sfx_keyboard,,,,,,THR_refund_trace,
S001,TW017,dialogue,CHR_mengyu,我看看啊……七三，一九，后面被雨亲没了。,dodge,cute,孟雨歪头看票，笑声卡在鼻音里,bg_window_counter,bgm_window_late,sfx_paper_wet,,,,,,FS_ticket_number_gap;ARC_mengyu_joke_to_name,
S001,TW018,dialogue,CHR_linqiao,雨亲不掉数字。缺的是票角。,probe,dry,林桥用镊子压住旧票边缘,bg_window_counter,bgm_window_late,sfx_tweezer,,,,,,OBJ_ticket_corner;FS_ticket_number_gap,
S001,TW019,dialogue,CHR_mengyu,小窗口老师，你们连纸受伤都要挂号吗？,deflect,bright,孟雨立刻把手收回袖口,bg_window_counter,bgm_window_late,sfx_cloth,,,,,,ARC_mengyu_joke_to_name,
S001,TW020,dialogue,CHR_linqiao,票受伤，系统不认。人受伤，另找窗口。,dry,flat,林桥把票推到扫描灯下,bg_terminal_refund,bgm_window_late,sfx_scanner,,,,,,THR_refund_trace;ARC_linqiao_rule_to_signature,
S001,TW021,dialogue,CHR_mengyu,你这人说话好冷喔。那我排错队了？,tease_probe,smile_fade,孟雨看向大厅尽头急诊广告灯,bg_station_window_night,bgm_window_late,sfx_rain,,,,,,ARC_mengyu_joke_to_name,
S001,TW022,command,,stage:scan_fail;,,,扫描灯扫过旧票，屏幕弹出红色无效班次,bg_terminal_refund,bgm_window_late,sfx_error_beep,,,,,,THR_refund_trace,
S001,TW023,dialogue,CHR_linqiao,班次停运三个月。票不能退。,result,controlled,林桥把鼠标移到失败原因栏,bg_terminal_refund,bgm_window_late,sfx_mouse,,,,,,THR_refund_trace;FS_old_refund_log,
S001,TW024,dialogue,CHR_mengyu,三个月？真的假的……我老板娘给我票的时候可理直气壮了。,lie_light,too_quick,孟雨笑得快，右手去摸手机壳,bg_window_counter,bgm_window_late,sfx_phone_tap,,,,,,ARC_mengyu_joke_to_name;FS_mengzhou_name,
S001,TW025,dialogue,CHR_linqiao,老板娘姓名。,check,short,林桥在备注栏敲下退票申请人,bg_terminal_refund,bgm_window_late,sfx_keyboard,,,,,,THR_refund_trace,
S001,TW026,dialogue,CHR_mengyu,老板娘姓……钱。开理发店的都姓钱，很合理吧？,lie,grin_crack,孟雨把湿发别到耳后，眼睛没看屏幕,bg_window_counter,bgm_window_late,sfx_rain_drip,,,,,,ARC_mengyu_joke_to_name,
S001,TW027,thought,CHR_linqiao,钱老板，三个月旧票，今天夜里赶在交章前。每一项都像临时补的字,inner,calculating,林桥停下键盘，指腹沾到一点红泥,bg_window_counter,bgm_window_late,sfx_keyboard_stop,,,,,,THR_red_stamp;ARC_linqiao_rule_to_signature,
S001,TW028,thought,CHR_linqiao,红泥在票角边，不在章面正中。有人只想让一半章活着,inner,alert,林桥把票往灯下挪了半寸,bg_window_counter,bgm_window_late,sfx_lamp_buzz,,,,,,OBJ_ticket_corner;FS_ticket_number_gap;THR_red_stamp,
S001,TW029,thought,CHR_linqiao,这张票不能直接收进废票箱。收了，缺口就归系统管了,inner,guarded,林桥把废票箱往自己这边挪开,bg_window_counter,bgm_window_late,sfx_box_slide,,,,,,THR_refund_trace;FS_ticket_corner_callback,
S001,TW030,dialogue,CHR_linqiao,这枚红章今天盖的,probe,low,林桥用镊子点了点票角半枚印泥,bg_window_counter,bgm_window_late,sfx_tweezer,,,,,,THR_red_stamp;FS_ticket_number_gap,
S001,TW031,dialogue,CHR_mengyu,哎呀，红色显白嘛，旧票也想打扮一下。,dodge,cute_panic,孟雨立刻把笑补上，手指却贴住玻璃,bg_window_counter,bgm_window_late,sfx_glass_tap,,,,,,ARC_mengyu_joke_to_name;THR_red_stamp,
S001,TW032,dialogue,CHR_linqiao,章盒今晚只在三号窗开过。,pressure,controlled,林桥把章盒盖按回去，没有落锁,bg_window_counter,bgm_window_late,sfx_stamp_box,,,,,,OBJ_refund_stamp;THR_red_stamp,
S001,TW033,dialogue,CHR_mengyu,那你们三号窗业务挺广，连三个月前都能补售后？,counter_joke,thin_smile,孟雨的笑压低，肩膀往雨衣里缩,bg_window_counter,bgm_window_late,sfx_rain,,,,,,ARC_mengyu_joke_to_name,
S001,TW034,dialogue,CHR_linqiao,孟雨，谁让你拿这张票来的？,name_probe,low,林桥从票面背后看见铅笔写的孟字,bg_window_counter,bgm_window_late,sfx_lamp_buzz,,,,,,FS_mengzhou_name;ARC_linqiao_rule_to_signature,
S001,TW035,dialogue,CHR_mengyu,你怎么知道我姓孟……你们窗口还带算命吗？,panic_play,wide_eye,孟雨后退半步，伞柄撞到玻璃,bg_window_counter,bgm_window_late,sfx_umbrella_hit,,,,,,ARC_mengyu_joke_to_name;FS_mengzhou_name,
S001,TW036,dialogue,CHR_linqiao,票背面有字。水没泡掉。,check,flat,林桥没有把票翻给她看,bg_window_counter,bgm_window_late,sfx_paper_wet,,,,,,OBJ_old_ticket;FS_mengzhou_name,
S001,TW037,dialogue,CHR_mengyu,那就别念了，拜托。名字被窗口念出来，会变得很贵。,drop_mask,quiet,孟雨的手从手机壳上移开一点,bg_window_counter,bgm_window_late,sfx_rain_low,,,,,,ARC_mengyu_joke_to_name;THR_refund_trace,
S001,TW038,command,,stage:radio_interrupt;,,,对讲机忽然插进电流，广播把末班车检票声压低,bg_window_counter,bgm_window_late,sfx_radio_static,,,,,,FS_zhao_radio_static,
S001,TW039,dialogue,CHR_zhaobo,三号窗，别留异常件！23:58 交章，站务长明早查。,radio_pressure,sharp,对讲机红灯亮到发暗,bg_window_counter,bgm_window_late,sfx_radio,,,,,,ARC_zhaobo_deny_to_leak;THR_north_gate,
S001,TW040,dialogue,CHR_linqiao,收到。正在关最后一笔。,cover,flat,林桥抬手挡住票面红章,bg_window_counter,bgm_window_late,sfx_keyboard,,,,,,ARC_linqiao_rule_to_signature;THR_red_stamp,
S001,TW041,dialogue,CHR_mengyu,你看，他也很怕这张票，对吧？,soft_probe,low,孟雨声音轻下来，眼睛盯着对讲机,bg_window_counter,bgm_window_late,sfx_radio_hiss,,,,,,THR_north_gate;ARC_mengyu_joke_to_name,
S001,TW042,dialogue,CHR_linqiao,怕票的人不会跑来退票。你怕它被收走。,accuse,low,林桥把废票箱盖合上,bg_window_counter,bgm_window_late,sfx_box_close,,,,,,OBJ_old_ticket;ARC_linqiao_rule_to_signature,
S001,TW043,dialogue,CHR_mengyu,对，别收走。盖章也行、复印也行、骂我也行，票角留给我。,plain_request,steady,孟雨把手机壳放平，第一次松开缺角,bg_window_counter,bgm_window_late,sfx_phone_down,,,,,,ARC_mengyu_joke_to_name;FS_ticket_corner_callback,
S001,TW044,thought,CHR_linqiao,她把选择摊到柜台上。章会污染原票，票角会污染窗口日志,inner,split,林桥看着章和票角，中间隔着一行空白备注,bg_window_counter,bgm_window_late,sfx_clock,,,,,,THR_refund_trace;THR_red_stamp;ARC_linqiao_rule_to_signature,
S001,TW045,command,,stage:choice_focus_stamp_corner;,,,镜头停在退票失败章和半枚红色票角之间,bg_window_counter,bgm_window_late,sfx_heartbeat_low,,,,,,OBJ_refund_stamp;OBJ_ticket_corner,
S001,TW046,choice,,先盖退票失败章，让旧票留下官方处理记录,,,,,,,TW_HANDLE,盖拒退章,TW_STAMP,,refund_failed_stamp_used=true;station_risk+=1;trust_meng+=1,THR_refund_trace;ARC_linqiao_rule_to_signature,
S001,TW047,choice,,先压住票角，登记异常，暂不盖废票,,,,,,,TW_HANDLE,留票角待核,TW_CORNER,,ticket_corner_kept=true;station_risk+=2;trust_meng+=2,THR_red_stamp;FS_ticket_corner_callback,
S001,TW048,command,,label:TW_STAMP,,,,,,,,,,,,,
S001,TW049,dialogue,CHR_linqiao,我先盖拒退章。红泥落下去，原票就不能再洗。,decision_stamp,firm,林桥把旧票压到章垫中央,bg_window_counter,bgm_window_late,sfx_stamp_ready,,,,,,THR_refund_trace;ARC_linqiao_rule_to_signature,
S001,TW050,dialogue,CHR_mengyu,行吧，官方打脸也算脸。你轻一点，好不好？,accept_stamp,small,孟雨指尖扣住柜台边，指甲泛白,bg_window_counter,bgm_window_late,sfx_rain_low,,,,,,ARC_mengyu_joke_to_name;THR_refund_trace,
