scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S001,S001_final_20260624_0001,command,,label:S001_START,,,,,,,,,,,,,branch_label; source_visible_id=000
S001,S001_final_20260624_0002,narration,,夜雨。便利店自动门合上，门口脚垫吸饱了水。雨袋架旁边，失物箱的盖子歪着，像被人匆忙按回去过。,,,stage_image,convenience_store_rain_night,,,,,,,,,click_function=screen_state; source_visible_id=000
S001,S001_final_20260624_0003,narration,,收银机屏幕待机。,,,object_or_stage_change,convenience_store_rain_night,,,,,,,,,click_function=screen_state_or_object_operation; source_visible_id=001
S001,S001_final_20260624_0004,narration,,绿色光点一闪一闪。,,,object_or_stage_change,convenience_store_rain_night,,,,,,,,,click_function=screen_state_or_object_operation; source_visible_id=002
S001,S001_final_20260624_0005,dialogue,CHR_jiangchi,别催。,CHR_jiangchi,dry,sprite_expression,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure_or_charm; source_visible_id=003
S001,S001_final_20260624_0006,narration,,屏幕没有反应。,,,object_or_stage_change,convenience_store_rain_night,,,,,,,,,click_function=screen_state_or_object_operation; source_visible_id=004
S001,S001_final_20260624_0007,dialogue,CHR_jiangchi,行。你赢。,CHR_jiangchi,dry,sprite_expression,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure_or_charm; source_visible_id=005
S001,S001_final_20260624_0008,narration,,自动门响。,,,stage_image,convenience_store_rain_night,,,,,,,,,click_function=screen_state; source_visible_id=006
S001,S001_final_20260624_0009,narration,,雨声被门缝推了进来。,,,object_or_stage_change,convenience_store_rain_night,,,,,,,,,click_function=screen_state_or_object_operation; source_visible_id=007
S001,S001_final_20260624_0010,narration,,林檐抱着书包冲到雨袋架前，鞋尖踩过黄线，又退回去半步。,,,object_or_stage_change,convenience_store_rain_night,,,,,,,,,click_function=screen_state_or_object_operation; source_visible_id=008
S001,S001_final_20260624_0011,dialogue,CHR_linyan,我先声明，我踩线是雨水胁迫，不计入本人素质考核！,CHR_linyan,lively,sprite_expression,,,,,,,,,CHR_linyan,click_function=dialogue_pressure_or_charm; source_visible_id=009
S001,S001_final_20260624_0012,dialogue,CHR_linyan,还有，你们门口这个黄线也太严肃了吧，像便利店教导主任。,CHR_linyan,lively,sprite_expression,,,,,,,,,CHR_linyan,click_function=dialogue_pressure_or_charm; source_visible_id=010
S001,S001_final_20260624_0013,dialogue,CHR_linyan,教导主任晚上好，我找一把伞，蓝色，旧旧的，伞柄被历史咬过一口。,CHR_linyan,lively,sprite_expression,,,,,,,,,CHR_linyan,click_function=dialogue_pressure_or_charm; source_visible_id=011
S001,S001_final_20260624_0014,dialogue,CHR_linyan,历史就是我。小时候的我。未成年历史，不予追责。,CHR_linyan,lively,sprite_expression,,,,,,,,,CHR_linyan,click_function=dialogue_pressure_or_charm; source_visible_id=012
S001,S001_final_20260624_0015,dialogue,CHR_jiangchi,失物箱。,CHR_jiangchi,dry,sprite_expression,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure_or_charm; source_visible_id=013
S001,S001_final_20260624_0016,dialogue,CHR_linyan,我看见它了。,CHR_linyan,lively,sprite_expression,,,,,,,,,CHR_linyan,click_function=dialogue_pressure_or_charm; source_visible_id=014
S001,S001_final_20260624_0017,dialogue,CHR_linyan,它刚刚还对我露出“进来吧孩子，这里都是被世界弄丢的东西”的表情。,CHR_linyan,lively,sprite_expression,,,,,,,,,CHR_linyan,click_function=dialogue_pressure_or_charm; source_visible_id=015
S001,S001_final_20260624_0018,dialogue,CHR_jiangchi,箱子没有表情。,CHR_jiangchi,dry,sprite_expression,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure_or_charm; source_visible_id=016
S001,S001_final_20260624_0019,dialogue,CHR_linyan,你们便利店的人都这么相信物理世界吗？,CHR_linyan,lively,sprite_expression,,,,,,,,,CHR_linyan,click_function=dialogue_pressure_or_charm; source_visible_id=017
S001,S001_final_20260624_0020,dialogue,CHR_linyan,很危险欸，灵魂会被小票机收走的。,CHR_linyan,lively,sprite_expression,,,,,,,,,CHR_linyan,click_function=dialogue_pressure_or_charm; source_visible_id=018
S001,S001_final_20260624_0021,thought,CHR_jiangchi,她说得太快。,inner,inner,,,,,,,,,,CHR_jiangchi,click_function=private_inference_or_cost; thought_job=private_pressure; source_visible_id=019
S001,S001_final_20260624_0022,thought,CHR_jiangchi,快到每个玩笑都像临时贴上去的伞补丁。,inner,inner,,,,,,,,,,CHR_jiangchi,click_function=private_inference_or_cost; thought_job=private_pressure; source_visible_id=020
S001,S001_final_20260624_0023,narration,,我蹲下去，打开失物箱。,,,object_or_stage_change,convenience_store_rain_night,,,,,,,,,click_function=screen_state_or_object_operation; source_visible_id=021
S001,S001_final_20260624_0024,narration,,旧蓝伞卡在两只透明雨伞套下面，伞柄一圈透明胶卷了边。,,,object_or_stage_change,convenience_store_rain_night,,,,,,,,,click_function=screen_state_or_object_operation; source_visible_id=022
S001,S001_final_20260624_0025,dialogue,CHR_jiangchi,这把？,CHR_jiangchi,dry,sprite_expression,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure_or_charm; source_visible_id=023
S001,S001_final_20260624_0026,narration,,林檐伸手。,,,object_or_stage_change,convenience_store_rain_night,,,,,,,,,click_function=screen_state_or_object_operation; source_visible_id=024
S001,S001_final_20260624_0027,narration,,又停住。,,,object_or_stage_change,convenience_store_rain_night,,,,,,,,,click_function=screen_state_or_object_operation; source_visible_id=025
S001,S001_final_20260624_0028,dialogue,CHR_linyan,小蓝。,CHR_linyan,lively,sprite_expression,,,,,,,,,CHR_linyan,click_function=dialogue_pressure_or_charm; source_visible_id=026
S001,S001_final_20260624_0029,dialogue,CHR_linyan,你怎么混成失物箱常住人口了？,CHR_linyan,lively,sprite_expression,,,,,,,,,CHR_linyan,click_function=dialogue_pressure_or_charm; source_visible_id=027
S001,S001_final_20260624_0030,dialogue,CHR_linyan,我跟你讲，这里住宿条件看起来一般，隔壁还有一只没洗干净的饭团袋。,CHR_linyan,lively,sprite_expression,,,,,,,,,CHR_linyan,click_function=dialogue_pressure_or_charm; source_visible_id=028
S001,S001_final_20260624_0031,dialogue,CHR_jiangchi,它听不见。,CHR_jiangchi,dry,sprite_expression,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure_or_charm; source_visible_id=029
S001,S001_final_20260624_0032,dialogue,CHR_linyan,所以我才敢讲坏话。,CHR_linyan,lively,sprite_expression,,,,,,,,,CHR_linyan,click_function=dialogue_pressure_or_charm; source_visible_id=030
