scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S001,S001_0001,command,,label:S001_START,,,,bg_rooftop_day,bgm_light_rooftop,,,,,,,S001,source=direct_csv; complete_delivery_source
S001,S001_0002,narration,,天台门的把手上挂着一张故障贴。,,neutral,door handle with yellow repair tag,bg_rooftop_day,bgm_light_rooftop,wind_soft,,,,,,THR_secret_as_device_case;FS_observation_sticker,click_function=entry_image
S001,S001_0003,narration,,贴纸写着：自动售货机疑似收取非货币物。,,neutral,clipboard raised; tag closeup,bg_rooftop_day,bgm_light_rooftop,,,,,,,,click_function=problem_object
S001,S001_0004,thought,CHR_shen_lan,非货币物。嗯……这四个字听起来已经很想推给学生会了。,procedural_private,thinking,thumb presses clipboard clip,bg_rooftop_day,bgm_light_rooftop,,,,,,,CHR_shen_lan,click_function=private_relaxation
S001,S001_0005,narration,,我推开天台门，风先把登记夹翻到空白页。,,neutral,clipboard pages flutter,bg_rooftop_day,bgm_light_rooftop,paper_flip,,,,,,,click_function=screen_state
S001,S001_0006,narration,,自动售货机站在栏杆旁边，屏幕亮着一行字。,,neutral,vending machine screen lights,bg_rooftop_day,bgm_light_rooftop,machine_hum,,,,,,,click_function=screen_state
S001,S001_0007,narration,,请投入秘密。,,neutral,screen text glows,bg_rooftop_day,bgm_light_rooftop,beep_soft,,,,,,,click_function=abnormal_rule
S001,S001_0008,thought,CHR_shen_lan,屏幕还亮着。好吧，至少它没有要求投入期末平均分。,dry_private,deadpan,pen pauses above form,bg_rooftop_day,bgm_light_rooftop,,,,,,,CHR_shen_lan,click_function=object_joke
S001,S001_0009,narration,,退币口卡着一角浅黄色纸条，旁边躺着一瓶柚子汽水。,,neutral,coin return slot with paper corner,bg_rooftop_day,bgm_light_rooftop,,,,,,,,click_function=clue
S001,S001_0010,command,,stage:roof_door_opens,,,,bg_rooftop_day,bgm_light_rooftop,door_open,,,,,,S001,production_cue=entrance
