scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S001,S001_v4_0001,command,,label:S001_START,,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0002,command,,夜雨。便利店自动门开合，门口脚垫湿了一半。雨袋架旁边压着一个失物箱，箱口卡住一截旧蓝伞柄。,,,,,,stage cue,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0003,narration,,黄色贴纸卷起一角。,,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0004,narration,,我把它按回去。,,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0005,narration,,贴纸又慢慢翘起来。,,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0006,dialogue,CHR_jiangchi,行，你也加班。,CHR_jiangchi,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0007,command,,自动门响。,,,,,,stage cue,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0008,narration,,一个女生冲进来，书包抱在胸前，鞋尖在脚垫上踩出两小块深色水印。,,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0009,dialogue,CHR_jiangchi,欢迎光——,CHR_jiangchi,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0010,dialogue,CHR_linyan,先别欢迎！,CHR_linyan,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0011,dialogue,CHR_linyan,我现在听见这四个字，就觉得下一秒会被推销第二件半价。,CHR_linyan,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0012,dialogue,CHR_linyan,还有，你们这个雨袋架站得好端正喔，跟班主任派来的监察委员一样。,CHR_linyan,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0013,dialogue,CHR_linyan,所以我先问清楚，便利店有没有把雨收起来的服务？有的话我办会员，没有的话我投诉天气。,CHR_linyan,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0014,narration,,她一口气说完，才发现自己手里还抓着一只空雨伞套。,,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0015,dialogue,CHR_linyan,……啊。,CHR_linyan,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
S001,S001_v4_0016,dialogue,CHR_linyan,证物自己出现了。,CHR_linyan,,,,,,,,,,,,source=punctuation_liveliness_rewrite_v4
