; Generated by VN Fusion Workbench
changeBg:bg_station_canopy_rain.png;
; S002-002 action=邵宁把卷帘门钥匙夹在指缝里
:雨棚裂缝往下漏水，黄线被泡出毛边。;
; S002-003 action=岑遥站在黄线边，湿票根藏在袖口里
:备用卷帘门停在半空，铁锈从门槽里掉下来。;
; S002-004 expression=hard action=邵宁看黄线，没有看她
邵宁:站线外。;
; S002-005 expression=wet action=岑遥把脚尖往后收了一点，又停住
岑遥:我没动。;
; S002-006 expression=hard action=他用伞柄点了点地面
邵宁:鞋尖。;
; S002-007 expression=guarded action=她低头看那截黄线，嘴角没笑出来
岑遥:你们这儿连鞋尖也登记？;
; S002-008 expression=neutral action=邵宁把工牌翻到背面
邵宁:镜头只认线。;
; S002-009 expression=wet action=她把票根又往袖口里塞深一点
岑遥:那你站里面。;
; S002-010 expression=hard action=他挡在玻璃反光前半步
邵宁:我穿工服。;
; S002-011 expression=guarded action=她看他肩头的雨水
岑遥:工服挡雨？;
; S002-012 expression=hard action=邵宁的拇指按住对讲机侧键，又松开
邵宁:挡问责。;
; S002-013 expression=blank action=她没有接伞，先看伞骨上的编号
岑遥:那挺贵。;
; S002-014 expression=neutral action=他把备用伞推到她鞋边，没有碰她的手
邵宁:所以别把我赔进去。;
; S002-015 expression=wet action=她的手指隔着袖口捏住票根
岑遥:我赔不起。;
; S002-016 expression=hard action=邵宁把手机压在掌心里，没有举起来
邵宁:知道。票根别攥了。;
; S002-017 expression=guarded action=岑遥把袖口转到身后
岑遥:又看那个。;
; S002-018 expression=hard action=他抬眼看卷帘门底边
邵宁:日期快没了。;
; S002-019 expression=blank action=她把后背贴到门玻璃上
岑遥:没了就没了。;
; S002-020 expression=neutral action=邵宁把伞柄从水线里挪开
邵宁:你跑这一趟，不该只剩湿纸。;
; S002-021 action=两个人都停住，没有回头
:门槽又响了一下。站内广播卡住半个站名，随后断掉。;
; S002-022 expression=wet action=她的手背贴着玻璃，指节发白
岑遥:你听见谁了？;
; S002-023 expression=alert action=邵宁侧身挡住玻璃上的反光
邵宁:站名报错了。人声没有。;
; S002-024 expression=guarded action=她看他的耳朵，不看眼睛
岑遥:你怎么分得出来。;
; S002-025 expression=hard action=他的手指在对讲机边缘敲了一下
邵宁:夜班听多了。;
; choice effect S002-026: setVar:trust_cenyao=trust_cenyao+1;
; choice effect S002-026: setVar:item_spare_umbrella=CHR_cenyao;
; choice effect S002-027: setVar:evidence_ticket_photo=true;
; choice effect S002-027: setVar:trust_cenyao=trust_cenyao-1;
choose:把备用伞推到她鞋边:S002_UMBRELLA|让她把票根摊在玻璃上:S002_TICKET;
; S002-028: 选择后分支：S002_UMBRELLA 或 S002_TICKET。
label:S002_UMBRELLA;
; S002-030 expression=hard action=他把伞尖转向她，伞柄留在自己这边
邵宁:伞拿着。编号十七。;
setVar:trust_cenyao=trust_cenyao+1;
setVar:item_spare_umbrella=CHR_cenyao;
; S002-031 expression=guarded action=她先碰编号贴纸，没有拿伞
岑遥:你还真记。;
; S002-032 expression=neutral action=邵宁从登记簿背面撕下一张便签
邵宁:丢了扣我钱。写姓。;
; S002-033 expression=blank action=她终于握住伞柄，只握最外端
岑遥:岑。;
setVar:flag_cenyao_surname=true;
; S002-034 expression=hard action=他没有抬头，笔尖停在纸上
邵宁:哪个岑。;
; S002-035 expression=guarded action=她把伞往自己那边拉半寸
岑遥:山今。名别写。;
; S002-036 expression=neutral action=邵宁只写了一个字，便签压在掌下
邵宁:名不用。;
; S002-037 expression=wet action=她把票根从袖口里抽出来一点
岑遥:你倒会留空。;
; S002-038 action=岑遥退到线外，票根还在她掌心
:伞面弹开，雨水甩到黄线外。玻璃上的人影被伞骨切碎。;
jumpLabel:S002_END;
label:S002_TICKET;
; S002-041 expression=hard action=他把手机放低，镜头朝向地砖
邵宁:票根贴玻璃上。只露日期。;
setVar:evidence_ticket_photo=true;
; S002-042 expression=blank action=她没有摊开票根，先看手机屏幕
岑遥:你站远点。;
; S002-043 expression=neutral action=邵宁后退半步，鞋跟压在线外
邵宁:行。;
; S002-044 expression=guarded action=她把票根夹在两根手指之间
岑遥:手机也远点。;
; S002-045 expression=hard action=他把手机翻到息屏，给她看黑掉的玻璃面
邵宁:我眼睛拍不下来。;
; S002-046 expression=blank action=她把票根按上玻璃，又马上收回一点
岑遥:你们什么都能拍下来。;
; S002-047 expression=alert action=邵宁的指节在手机壳上收紧
邵宁:刚才门口那段没有。;
; S002-048 expression=guarded action=她第一次看他的眼睛
岑遥:你没碰？;
; S002-049 expression=hard action=他把手机放到地上，推离自己半尺
邵宁:我没碰。;
; S002-050 expression=wet action=她的手停在玻璃上，票根开始洇水
岑遥:那谁能碰。;
setVar:trust_cenyao=trust_cenyao-1;
; S002-051 expression=hard action=邵宁看向值班室门缝，没有看她
邵宁:能进后台的人。;
; S002-052 expression=blank action=她把票根从玻璃上撕下来，纸角留下一点白屑
岑遥:那还不是你们。;
; S002-053 action=邵宁伸手，又停在半路
:玻璃上只剩一块湿痕。日期没有完整留下。;
jumpLabel:S002_END;
label:S002_END;
; S002-056 action=岑遥把票根压回掌心，伞或手机隔在两人中间
:卷帘门落下半格。站外的雨被切成两层，上面亮，下面黑。;
; S002-057 expression=guarded action=她的指尖压着票根日期，只露出半个二
岑遥:你刚才说三分钟。;
; S002-058 expression=hard action=邵宁把钥匙插进锁孔，没有拧
邵宁:现在还剩一分十六秒。;
setVar:deadline_station_lock=76;
setVar:flag_seen_partial_date=true;
