scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S001,S001_0001,command,,label:start,,,,old_clocktower,noon_light,bell_soft,,,,,,THR_lunch_bell FS_bell_1217,click_function=label
S001,S001_0002,narration,,午休铃停下以后，旧钟楼又响了一下。,,,,old_clocktower,noon_light,bell_extra,,,,,,THR_lunch_bell FS_bell_1217,click_function=soft_opening_environment_problem
S001,S001_0003,narration,,只有一下。像有人在操场尽头轻轻敲了个错别字。,,,,old_clocktower,noon_light,,,,,,,FS_bell_1217,click_function=screen_state_unusual_object
S001,S001_0004,thought,CHR_shenlu,我把失物箱往怀里收了收，怕那串钥匙下一秒也开始点我的名。箱沿碰出很轻的一声，听起来比钟楼还心虚。,,neutral,key_ring_touches_box,old_clocktower,noon_light,key_jingle,,,,,,CHR_shenlu MEM_shenlu_key_ring,click_function=private_pressure_role_by_object
S001,S001_0005,dialogue,CHR_shenlu,如果这是钟楼在点名，它点得有点迟。,CHR_shenlu,dry,holds_lost_and_found_box,old_clocktower,noon_light,,,,,,,CHR_shenlu ARC_shenlu_visible,click_function=voice_intro_dry_reaction
S001,S001_0006,dialogue,CHR_fuyao,钥匙保管员同学——请保持原地呼吸！,CHR_fuyao,bright,peeks_from_corner,school_hall,noon_light,footsteps,,,,,,CHR_fuyao MEM_fuyao_broadcast_cover,click_function=character_entry_calling_role
S001,S001_0007,narration,,符遥从二楼拐角探出半个身子，小扩音器贴在胸前，音量旋钮被她拧到“非常心虚”。,,,,school_hall,noon_light,,,,,,,CHR_fuyao MEM_fuyao_volume_knob,click_function=visible_character_introduction
S001,S001_0008,dialogue,CHR_shenlu,这个称呼听起来像我已经签过责任书了？,CHR_shenlu,dry,looks_at_key_ring,school_hall,noon_light,,,,,,,CHR_shenlu ARC_shenlu_visible,click_function=relationship_pressure
S001,S001_0009,dialogue,CHR_fuyao,还没有嘛。所以现在签也来得及。,CHR_fuyao,teasing,raises_amplifier,school_hall,noon_light,,,,,,,CHR_fuyao MEM_fuyao_broadcast_cover,click_function=tease_request
S001,S001_0010,dialogue,CHR_fuyao,广播站刚宣布午休一切正常，它就多响了一下。你看，这很针对我吧？,CHR_fuyao,nervous_smile,turns_volume_knob,school_hall,noon_light,,,,,,,CHR_fuyao THR_lunch_bell,click_function=problem_statement_with_voice
S001,S001_0011,dialogue,CHR_shenlu,也可能针对午饭。我的饭还没打开,CHR_shenlu,flat,raises_lunch_bag,school_hall,noon_light,,,,,,,CHR_shenlu MEM_shenlu_lunch_delay,click_function=personal_cost
S001,S001_0012,dialogue,CHR_fuyao,那它更坏了！午饭是神圣的。,CHR_fuyao,earnest,clasps_amplifier,school_hall,noon_light,,,,,,,CHR_fuyao,click_function=cute_agreement
S001,S001_0013,narration,,旧钟楼门口的阴影里，温眠端着一个空布丁杯，安静得像已经等完一场审判。,,,,old_clocktower,noon_light,,,,,,,CHR_wenmian MEM_wenmian_empty_cup,click_function=third_character_entry_visible_object
S001,S001_0014,dialogue,CHR_wenmian,你们继续吧。我的焦糖布丁券也在刚才消失了，顺序上很礼貌吧？,CHR_wenmian,soft,holds_empty_cup,old_clocktower,noon_light,,,,,,,CHR_wenmian MEM_wenmian_pudding_debt,click_function=soft_pressure_enters
S001,S001_0015,dialogue,CHR_fuyao,温眠同学，你这个也字听起来好危险。,CHR_fuyao,small_panic,lowers_amplifier,old_clocktower,noon_light,,,,,,,CHR_fuyao CHR_wenmian,click_function=relationship_cost
S001,S001_0016,dialogue,CHR_wenmian,没有危险哦。只是焦糖的保存期限很短。,CHR_wenmian,smiling,tilts_empty_cup,old_clocktower,noon_light,,,,,,,CHR_wenmian MEM_wenmian_soft_pressure,click_function=soft_threat
S001,S001_0017,thought,CHR_shenlu,她说没有的时候，空杯底那圈焦糖像在替她记账。怪声还排不上最可怕，温柔的人拿出凭证时才麻烦。,,thinking,watches_caramel_ring,old_clocktower,noon_light,,,,,,,CHR_shenlu CHR_wenmian ARC_wenmian_soft_threat,click_function=private_inference_from_object
S001,S001_0018,dialogue,CHR_fuyao,总之，旧钟楼可能在抗议。你负责钥匙，它负责响，我们负责不要被老师发现。,CHR_fuyao,declaring,points_to_tower,old_clocktower,noon_light,,,,,,,CHR_fuyao THR_lunch_bell,click_function=task_pitch
S001,S001_0019,dialogue,CHR_shenlu,嗯……当然？它应该没有抗议功能。,CHR_shenlu,dry_pause,checks_key_tag,old_clocktower,noon_light,,,,,,,CHR_shenlu MEM_shenlu_key_ring,click_function=relaxed_question_particle
S001,S001_0020,dialogue,CHR_wenmian,那就是有人帮它加装了。可以先找人，也可以先赔布丁？,CHR_wenmian,soft_logic,raises_empty_cup,old_clocktower,noon_light,,,,,,,CHR_wenmian MEM_wenmian_pudding_debt,click_function=choice_pressure
S001,S001_0021,thought,CHR_shenlu,钥匙在掌心硌了一下。只要我现在说路过，麻烦会短暂离开午休，然后在放学时连本带息回来。,,thinking,turns_key_in_palm,old_clocktower,noon_light,key_jingle,,,,,,CHR_shenlu ARC_shenlu_visible,click_function=choice_cost_private
S001,S001_0022,choice,,,,,,,,,C001_lunch_bell,先让钟楼冷静下来,branch_calm,,choice_label_48=branch_calm; trust_fuyao += 1; bell_clue += 1,THR_lunch_bell ARC_fuyao_request,click_function=choice_relationship_fuyao
S001,S001_0023,choice,,,,,,,,,C001_lunch_bell,先处理布丁赔偿问题,branch_snack,,choice_label_48=branch_snack; trust_wenmian += 1; bell_clue += 1,THR_lunch_bell ARC_wenmian_soft_threat,click_function=choice_relationship_wenmian
S001,S001_0024,choice,,,,,,,,,C001_lunch_bell,声明自己只是路过,branch_escape,,choice_label_48=branch_escape; shenlu_escape_debt += 1; bell_clue += 1,ARC_shenlu_visible,click_function=choice_self_defense
