scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S001,S001_000,command,,label:S001_雨袋架旁边,,,,便利店_夜_雨,雨夜低频,自动门叮咚,,,,,,,scene_entry
S001,S001_001,narration,,雨贴着自动门底下挤进来，先湿了脚垫，再把“请勿滑倒”的黄贴纸泡得发亮。,,,画面/物件状态变化,,,,,,,,,,click_function=entry_image+screen_state
S001,S001_002,narration,,我把雨伞套的纸牌扶正。纸牌慢慢歪回去，夜班用品也有自己的脾气。,,,画面/物件状态变化,,,,,,,,,,click_function=object_state+POV_tone
S001,S001_003,dialogue,CHR_jiangchi,欢迎光——,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=interrupted_greeting
S001,S001_004,dialogue,CHR_linyan,先别欢迎。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=pressure_owner_linyan
S001,S001_005,dialogue,CHR_linyan,我现在听见“欢迎光临”四个字，脑子里就自动弹出第二件半价。很可怕的，像便利店咒语。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=cover_shame_with_joke
S001,S001_006,dialogue,CHR_linyan,还有，你们这个雨袋架站得好端正喔，跟班主任派来的监察委员一样。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=object_nickname+voice
S001,S001_007,dialogue,CHR_linyan,所以我先问清楚，便利店有没有把雨收起来的服务？有的话我办会员，没有的话我投诉天气。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=request_disguised_as_comedy
S001,S001_008,narration,,她一口气说完，脚尖停在黄线外，眼睛却已经绕到雨袋架下面。失物箱的盖子没扣严，露出一截旧蓝色。,,,画面/物件状态变化,,,,,,,,,,click_function=screen_state+hidden_goal
S001,S001_009,thought,,那一截旧蓝色比她嘴里的天气投诉先到柜台。,,,内心独白,,,,,,,,,,thought_job=private_inference;click_function=POV_reads_priority
S001,S001_010,thought,,箱子要是空，她就得亲手把那串玩笑捡回来。,,,内心独白,,,,,,,,,,thought_job=private_cost;click_function=stakes_before_reply
S001,S001_011,dialogue,CHR_jiangchi,雨伞套免费。雨收不了。失物箱可以看，拿错要登记。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=procedure_reply+relation_pressure
S001,S001_012,dialogue,CHR_linyan,哇，你从“欢迎光临”直接跳到“拿错登记”，中间的人类缓冲区呢？被热饮柜吃掉了吗？,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=tease_clerk_voice
S001,S001_013,dialogue,CHR_jiangchi,热饮柜不吃人。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=dry_counter
S001,S001_014,dialogue,CHR_linyan,那太好了，我今天已经够倒霉了，暂时不想成为关东煮亲属。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=continues_joke+fatigue_leak
S001,S001_015,dialogue,CHR_linyan,我要找一把蓝伞。旧的，伞骨有点往左偏，撑开以后总想替我绕开晚自习。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=usable_information+voice
S001,S001_016,dialogue,CHR_linyan,手柄缠透明胶，胶下面有牙印。小时候的牙印。现在的我已经进化了，最多咬笔盖。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=object_feature+shame_cover
S001,S001_017,dialogue,CHR_linyan,你要笑的话，先排队。我本人还没笑完。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=defensive_charm
S001,S001_018,command,,@sfx 收银机滴,,,,,,收银机滴,,,,,,,click_function=machine_callback
S001,S001_019,dialogue,CHR_jiangchi,它笑了。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=dry_join_play
S001,S001_020,dialogue,CHR_linyan,铁算盘一号？你们店的电子员工素质好差。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=nickname_created
S001,S001_021,narration,,我拉出失物本。纸页被空调翻开，停在昨天的雨伞记录旁。,,,画面/物件状态变化,,,,,,,,,,click_function=work_action
S001,S001_022,dialogue,CHR_jiangchi,找伞写四项。姓名，联系方式，物品特征，遗失时间。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=procedure_pressure
S001,S001_023,dialogue,CHR_jiangchi,特征越丢脸，找回来的概率越高。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=procedure_as_comfort
S001,S001_024,dialogue,CHR_linyan,你这个安慰方式，刚从冰柜里拿出来的吧？,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=voice_response
S001,S001_025,dialogue,CHR_jiangchi,经验。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=clipped_answer
S001,S001_026,dialogue,CHR_linyan,经验先生，你刚才脑内飘过“未知生物标记领地”这几个字了吧？,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=tease_guess
S001,S001_027,dialogue,CHR_jiangchi,没写。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=dodge
S001,S001_028,dialogue,CHR_linyan,没写就行。没写的坏话暂时无罪。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=accepts_rule_play
S001,S001_029,narration,,她把笔拍到柜台上，拍完又往我这边推了半厘米。,,,画面/物件状态变化,,,,,,,,,,click_function=body_leak
S001,S001_030,dialogue,CHR_linyan,名字，林檐。树林的林，屋檐的檐。雨落下来会先撞到的那个檐。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=identity_info+voice
S001,S001_031,dialogue,CHR_linyan,电话我也给。你不要露出“客户终于配合流程”的表情。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=trust_step
S001,S001_032,thought,,她把名字报得很熟，熟到像先替别人问过自己。,,,内心独白,,,,,,,,,,thought_job=private_inference;click_function=name_pressure
S001,S001_033,thought,,我差点问她为什么是屋檐。笔尖停住的时候，失物本先替我闭嘴。,,,内心独白,,,,,,,,,,thought_job=avoided_question;click_function=POV_restraint
S001,S001_034,command,,@choice CHOICE_01 蓝伞登记,,,,,,,CHOICE_01,,,,,,choice_group
S001,S001_035A,choice,,,,,,,,,CHOICE_01,按失物流程登记,S001_036A,,umbrella_recorded=true,,choice_axis=procedure_first
S001,S001_035B,choice,,,,,,,,,CHOICE_01,先拿箱里的蓝伞给她确认,S001_036B,,early_trust=true,,choice_axis=emotion_first
S001,S001_035A_LABEL,command,,label:S001_036A,,,,,,,,,,umbrella_recorded,,,branch_label
S001,S001_036A,dialogue,CHR_jiangchi,我写“手柄旧牙印”。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,umbrella_recorded,,,click_function=immediate_feedback
S001,S001_037A,dialogue,CHR_jiangchi,不会写成熟复读生、未知生物、领地意识。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,umbrella_recorded,,,click_function=dry_protection
S001,S001_038A,dialogue,CHR_linyan,你明明都想好了？！,CHR_linyan,,立绘随台词表情变化,,,,,,,umbrella_recorded,,,click_function=comic_pressure
S001,S001_039A,dialogue,CHR_jiangchi,没落笔。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,umbrella_recorded,,,click_function=rule_dodge
S001,S001_040A,dialogue,CHR_linyan,行吧，旧牙印可以。旧这个字很优秀，听起来它已经退休，不再代表我本人。,CHR_linyan,,立绘随台词表情变化,,,,,,,umbrella_recorded,,,click_function=accepts_record
S001,S001_035B_LABEL,command,,label:S001_036B,,,,,,,,,,early_trust,,,branch_label
S001,S001_036B,narration,,我从失物箱里取出一把蓝伞。伞面褪色，手柄干净得过分。,,,画面/物件状态变化,,,,,,,early_trust,,,click_function=object_test
S001,S001_037B,dialogue,CHR_linyan,啊。,CHR_linyan,,立绘随台词表情变化,,,,,,,early_trust,,,click_function=recognition_drop
S001,S001_038B,dialogue,CHR_linyan,太乖了。我的那把一撑开就往左偏，像见到数学老师想绕路。,CHR_linyan,,立绘随台词表情变化,,,,,,,early_trust,,,click_function=feature_detail+voice
S001,S001_039B,dialogue,CHR_linyan,这里没有牙印，清白得很可疑。,CHR_linyan,,立绘随台词表情变化,,,,,,,early_trust,,,click_function=confirms_wrong_item
S001,S001_040B,dialogue,CHR_jiangchi,那继续登记。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,early_trust,,,click_function=return_to_procedure
S001,S001_041B,dialogue,CHR_linyan,你刚才可以直接走流程的。,CHR_linyan,,立绘随台词表情变化,,,,,,,early_trust,,,click_function=trust_notice
S001,S001_042B,dialogue,CHR_jiangchi,先看过，明天比较不会赔进去。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,early_trust,,,click_function=care_as_reason
S001,S001_043B,dialogue,CHR_linyan,谢谢。正经版的，不准用收银机语气接。,CHR_linyan,,立绘随台词表情变化,,,,,,,early_trust,,,click_function=relationship_gain
S001,S001_044B,dialogue,CHR_jiangchi,收到。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,early_trust,,,click_function=clerk_accepts
S001,S001_045,command,,@merge CHOICE_01_REJOIN,,,,,,,,,,,,,rejoin
S001,S001_046,dialogue,CHR_jiangchi,遗失时间。六点四十到七点，范围太宽。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=work_problem
S001,S001_047,dialogue,CHR_jiangchi,公交站、门口、热饮柜、雨袋架，四个点都可能。监控要店长权限，何姨十点半睡，现在十点四十八。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=constraints
S001,S001_048,dialogue,CHR_jiangchi,电话打过去，她会先骂我，再骂你，最后骂雨。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=dry_humor+stakes
S001,S001_049,dialogue,CHR_jiangchi,所以先看收银台最近十五分钟，确认你有没有把手上这把也弄丢。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=action_plan
S001,S001_050,dialogue,CHR_linyan,你怀疑我连替身都保不住？,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=defensive_play
S001,S001_051,dialogue,CHR_jiangchi,我怀疑你刚才差点把笔盖吞了。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=observed_pressure
S001,S001_052,dialogue,CHR_linyan,那叫焦虑式文具管理！,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=comic_denial
S001,S001_053,command,,@sfx 键盘轻响,,,,,,键盘轻响,,,,,,,screen_shift
S001,S001_054,narration,,监控画面弹出来。镜头把便利店拍成发白的盒子，林檐退到黄线外，嘴上还在跟黄线打招呼。,,,画面/物件状态变化,,,,,,,,,,click_function=screen_state+character_bit
S001,S001_055,dialogue,CHR_linyan,黄线大人，我遵守了。铁算盘一号，你也看见了。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=object_witness
S001,S001_056,dialogue,CHR_linyan,如果我等会儿激动，请你们一起作证，我没有碰店员的神圣键盘。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=prepares_emotional_risk
S001,S001_057,dialogue,CHR_jiangchi,键盘暂时安全。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=dry_ack
S001,S001_058,narration,,画面倒到十点三十六。林檐站在热饮柜前，坏伞靠在右侧雨袋架。她没有买东西，只盯着豆浆看了十一秒。,,,画面/物件状态变化,,,,,,,,,,click_function=new_evidence
S001,S001_059,dialogue,CHR_jiangchi,你来过。没买东西。看了豆浆。走的时候没拿伞。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=evidence_sequence
S001,S001_060,dialogue,CHR_linyan,你能不能别像播案情回顾……,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=shame_response
S001,S001_061,dialogue,CHR_jiangchi,那我换说法。你当时很冷，也很饿。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=softens_evidence
S001,S001_062,dialogue,CHR_jiangchi,但你没有进来求助。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=unsafe_observation
S001,S001_063,thought,,监控屏停在她盯着豆浆的那一帧。我把流程表往心里拉了一下，没拉住。,,,内心独白,,,,,,,,,,thought_job=self_check;click_function=POV_cost
S001,S001_064,dialogue,CHR_linyan,我那时候考砸了。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=mask_crack
S001,S001_065,dialogue,CHR_linyan,数学卷子，红得特别热闹。老师说我的基础像旧楼漏水，哪里都能滴。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=backstory_as_voice
S001,S001_066,dialogue,CHR_linyan,我就想，旧楼也没自己报名漏水嘛。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=defensive_joke_soft
S001,S001_067,dialogue,CHR_linyan,后来伞找不到，车也走了。我站在站牌下面，忽然很想听我妈骂我。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=mother_reveal
S001,S001_068,dialogue,CHR_linyan,她会说，林檐，你连咬过的伞都看不住，长大以后怎么管自己啊。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=memory_voice
S001,S001_069,dialogue,CHR_linyan,然后她会把伞拿过去，骂我两句，再用透明胶给它缠一圈。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=object_emotion
S001,S001_070,dialogue,CHR_linyan,现在没人缠了。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=emotional_turn
S001,S001_071,command,,@sfx 微波炉门打开,,,,,,微波炉门打开,,,,,,,action_after_reveal
S001,S001_072,narration,,我拿了两杯豆浆。杯套碰到柜台，热气往上冒。,,,画面/物件状态变化,,,,,,,,,,click_function=care_action
S001,S001_073,dialogue,CHR_jiangchi,第二件半价。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=care_disguised_as_sale
S001,S001_074,dialogue,CHR_linyan,你这个人……我都快讲到伤心段落了，你插入促销？,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=relief_through_comedy
S001,S001_075,dialogue,CHR_jiangchi,你看了十一秒。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=evidence_care
S001,S001_076,dialogue,CHR_linyan,监控先生，求你把嘴闭上。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=nickname_shift
S001,S001_077,dialogue,CHR_jiangchi,烫。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=practical_care
S001,S001_078,dialogue,CHR_linyan,这句提醒来得很及时，比昨晚版本进步巨大。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=accepts_care
S001,S001_079,narration,,她接过豆浆，两只手捧住。肩膀慢慢降下来。,,,画面/物件状态变化,,,,,,,,,,click_function=visible_emotional_shift
S001,S001_080,narration,,监控快进。小学生买了水果糖，低头穿雨衣，顺手拿走了那把旧蓝伞。,,,画面/物件状态变化,,,,,,,,,,click_function=case_solution
S001,S001_081,dialogue,CHR_linyan,小孩拿的。看起来还挺普通。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=unexpected_suspect
S001,S001_082,dialogue,CHR_linyan,这就麻烦了。坏人我可以骂，小孩我只能希望他明天别被那把伞戳到脸。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=softening
S001,S001_083,dialogue,CHR_jiangchi,他买了水果糖。小票有会员记录。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=evidence_available
S001,S001_084,dialogue,CHR_jiangchi,我不能给你会员号，也不能私查完整信息。可以写时间、商品、伞特征，明天让何姨查。,CHR_jiangchi,,立绘随台词表情变化,,,,,,,,,,click_function=rule_boundary
S001,S001_085,dialogue,CHR_linyan,午休四十分钟。,CHR_linyan,,立绘随台词表情变化,,,,,,,,,,click_function=time_cost
