row_id,scene_id,beat_id,label,speaker,row_type,text,voice_target,expression,body_action,bg,bgm,sfx,stage,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
R0001,S001,,,,narration,收银台上方的日光灯抖了一下。冰柜的低频嗡鸣把深夜十二点的便利店和外面的世界隔开。,,,,,冰柜低频嗡鸣,远处一声风铃,,,,,,,,
R0002,S001,,,,narration,林小满站在收银台前，拉开书包拉链的第三次。,,,,,,书包拉链声,,,,,,,,
R0003,S001,,,周也,dialogue,『还差多少？』,,,,,,滴——扫码失败,,,,,,,,
R0004,S001,,,,narration,他手里的关东煮杯子已经搁在扫码台三秒了。没有催。也没有放回去。,,,,,,,,,,,,,,
R0005,S001,,,林小满,dialogue,『马上马上——你再等我一下下！我有钱的，我下午刚发的工资……』,,,,,,硬币碰撞声，翻塑料内袋的咔啦声,,,,,,,,
R0006,S001,,,周也,dialogue,『七块五。』,,,,,,,,,,,,,,
R0007,S001,,,林小满,thought,（他没说差多少。他已经替我算好了——他看出来我不会算。）,,,,,,,,,,,,,,
R0008,S001,,,林小满,dialogue,『关东煮嘛……三个，两块五一个——我知道我知道！』,,,,,,,,,,,,,,
R0009,S001,,,周也,dialogue,『嗯。』,,,,,,,,,,,,,,
R0010,S001,,,,narration,她把包翻了个底朝天。唇膏滚出来，落在收银台边上。一张皱巴巴的口罩收据。几根数据线绞成一团。最后落出来的是一枚五毛硬币——在台面上转了两圈才倒下。,,,,,,五毛硬币在亚克力台面上旋转——越来越慢——倒下的声音,,,,,,,,
R0011,S001,,,林小满,thought,（六块五。还差一块五——不对，她摸到了侧袋拉链。）,,,,,,,,,,,,,,
R0012,S001,,,林小满,dialogue,『那个……哥哥？这个关东煮是不是算错了……』,,,,,,,,,,,,,,
R0013,S001,,,周也,dialogue,『两块五一个，你拿了三个。七块五。不差。』,,,,,,,,,,,,,,
R0014,S001,,,林小满,thought,（他没有帮我。他为什么要帮我。他只是上班的。）,,,,,,,,,,,,,,
R0015,S001,,,林小满,dialogue,『那我——那我放一个回去……』,,,,,,,,,,,,,,
R0016,S001,,,,narration,她伸手去拿杯子，指尖碰到了杯壁——但还没拿稳。,,,,,,关东煮杯壁的纸杯摩擦声,,,,,,,,
R0017,S001,,,周也,dialogue,『你等等啊——我把这个三明治价签补了先。』,,,,,,三明治价签被撕下的声音,,,,,,,,
R0018,S001,,,周也,thought,（让她自己翻。别盯着——盯久了她就把东西放回去了。）,,,,,,,,,,,,,,
R0019,S001,,,,narration,他背对着她，把价签贴到三明治包装上，贴得很慢。,,,,,,,,,,,,,,
R0020,S001,,,林小满,thought,（他故意的。他在等我。）,,,,,,,,,,,,,,
R0021,S001,,,林小满,dialogue,『谢谢……』,,,,,,,,,,,,,,
R0022,S001,,,,narration,她飞速把一枚一块钱硬币压在收银台边缘——然后抓起那杯关东煮。,,,,,,硬币落在台面上，发出实心的钝响,,,,,,,,
R0023,S001,,,周也,dialogue,『嗯。』,,,,,,,,,,,,,,
R0024,S001,,,,narration,他没收那一块钱。硬币还压在台面上。,,,,,,,,,,,,,,
R0025,S001,,,林小满,dialogue,『我明天——我明天一定来还！』,,,,,,,,,,,,,,
R0026,S001,,,,narration,她跑出店门时，门铃响了一声。不是风。,,,,,,便利店门铃——回弹声,,,,,,,,
R0027,S001,,,,narration,便利店门簧回弹，把那一声吞进深夜。,,,,,,,,,,,,,,
R0028,S001,,,,narration,周也低头看了一眼台面上的硬币。他没拿起来。他把关东煮的杯子推到收银台角落——放一杯温着的地方。,,,,,,,,,,,,,,
R0029,S001,,,周也,dialogue,『……一块钱。』,,,,,,,,,,,,,,
R0030,S001,,,,narration,收银台上日光灯照出去的光在地上铺了一条窄窄的梯子。,,,,,,,,,,,,,,
R0031,S001,,,,narration,林小满站在便利店门口的台阶上，没有回头。,,,,,冰柜低频嗡鸣渐弱,,,,,,,,,
