scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S002,S002-001,command,,changeBg:bg_station_canopy_rain.png,,,,bg_station_canopy_rain.png,rain_shift.ogg,,,,,,,,雨棚开场
S002,S002-002,narration,,雨棚裂缝往下漏水，黄线被泡出毛边。,,,邵宁把卷帘门钥匙夹在指缝里,,rain_shift.ogg,rain_drip,,,,,,OBJ_yellow_line,连续场景块一
S002,S002-003,narration,,备用卷帘门停在半空，铁锈从门槽里掉下来。,,,岑遥站在黄线边，湿票根藏在袖口里,,,shutter_clink,,,,,,OBJ_rolling_shutter,连续场景块二
S002,S002-004,dialogue,CHR_shaoning,站线外。,命令/短句,hard,邵宁看黄线，没有看她,,,,,,,,,voice_shaoning,对白块开始
S002,S002-005,dialogue,CHR_cenyao,我没动。,碎句/防备,wet,岑遥把脚尖往后收了一点，又停住,,,,,,,,,voice_cenyao,反驳但身体先退
S002,S002-006,dialogue,CHR_shaoning,鞋尖。,省略/流程,hard,他用伞柄点了点地面,,,,,,,,,voice_shaoning,职业式细节
S002,S002-007,dialogue,CHR_cenyao,你们这儿连鞋尖也登记？,刺人/试探,guarded,她低头看那截黄线，嘴角没笑出来,,,,,,,,,voice_cenyao,岑遥口吻
S002,S002-008,dialogue,CHR_shaoning,镜头只认线。,规则/短句,neutral,邵宁把工牌翻到背面,,,,,,,,,voice_shaoning,规程里藏保护
S002,S002-009,dialogue,CHR_cenyao,那你站里面。,回避/推开,wet,她把票根又往袖口里塞深一点,,,,,,,,,voice_cenyao,把风险推回去
S002,S002-010,dialogue,CHR_shaoning,我穿工服。,事实/挡责,hard,他挡在玻璃反光前半步,,,,,,,,,voice_shaoning,基层职业身份
S002,S002-011,dialogue,CHR_cenyao,工服挡雨？,反问/小刺,guarded,她看他肩头的雨水,,,,,,,,,voice_cenyao,嘴硬
S002,S002-012,dialogue,CHR_shaoning,挡问责。,干冷/短句,hard,邵宁的拇指按住对讲机侧键，又松开,,,,,,,,,voice_shaoning,干冷幽默
S002,S002-013,dialogue,CHR_cenyao,那挺贵。,短句/接刺,blank,她没有接伞，先看伞骨上的编号,,,,,,,,,voice_cenyao,顺着物件说
S002,S002-014,dialogue,CHR_shaoning,所以别把我赔进去。,请求伪装成算账,neutral,他把备用伞推到她鞋边，没有碰她的手,,,,,,,,,OBJ_spare_umbrella,关系债
S002,S002-015,dialogue,CHR_cenyao,我赔不起。,低声/退让,wet,她的手指隔着袖口捏住票根,,,,,,,,,voice_cenyao,不说谢
S002,S002-016,dialogue,CHR_shaoning,知道。票根别攥了。,短句/安排,hard,邵宁把手机压在掌心里，没有举起来,,,,,,,,,voice_shaoning,关心和证据冲突
S002,S002-017,dialogue,CHR_cenyao,又看那个。,物件替代,guarded,岑遥把袖口转到身后,,,,,,,,,voice_cenyao,回避名词
S002,S002-018,dialogue,CHR_shaoning,日期快没了。,事实/压迫,hard,他抬眼看卷帘门底边,,,,,,,,,voice_shaoning,证据倒计时
S002,S002-019,dialogue,CHR_cenyao,没了就没了。,赌气/防守,blank,她把后背贴到门玻璃上,,,,,,,,,voice_cenyao,宁愿毁证
S002,S002-020,dialogue,CHR_shaoning,你跑这一趟，不该只剩湿纸。,低声/压短,neutral,邵宁把伞柄从水线里挪开,,,,,,,,,voice_shaoning,避开漂亮总结
S002,S002-021,narration,,门槽又响了一下。站内广播卡住半个站名，随后断掉。,,,两个人都停住，没有回头,,,radio_cut,,,,,,OBJ_door_glass_reflection,打断对白块
S002,S002-022,dialogue,CHR_cenyao,你听见谁了？,碎句/确认,wet,她的手背贴着玻璃，指节发白,,,,,,,,,voice_cenyao,怕但不命名
S002,S002-023,dialogue,CHR_shaoning,站名报错了。人声没有。,流程/排除,alert,邵宁侧身挡住玻璃上的反光,,,,,,,,,voice_shaoning,排查
S002,S002-024,dialogue,CHR_cenyao,你怎么分得出来。,疑问/试探,guarded,她看他的耳朵，不看眼睛,,,,,,,,,voice_cenyao,试探经验
S002,S002-025,dialogue,CHR_shaoning,夜班听多了。,短句/旧伤回避,hard,他的手指在对讲机边缘敲了一下,,,,,,,,,voice_shaoning,旧伤不说
S002,S002-026,choice,,,,,,,,,C002,把备用伞推到她鞋边,S002_UMBRELLA,,trust_cenyao+=1;item_spare_umbrella=CHR_cenyao,PROM_no_police_yet,保护人
S002,S002-027,choice,,,,,,,,,C002,让她把票根摊在玻璃上,S002_TICKET,,evidence_ticket_photo=true;trust_cenyao-=1,OBJ_wet_ticket,保存证据
S002,S002-028,comment,,选择后分支：S002_UMBRELLA 或 S002_TICKET。,,,,,,,,,,,,,分支说明
S002,S002-029,command,,label:S002_UMBRELLA;,,,,,,,,,,,,,WebGAL 标签
S002,S002-030,dialogue,CHR_shaoning,伞拿着。编号十七。,登记/短句,hard,他把伞尖转向她，伞柄留在自己这边,,,,,,,,trust_cenyao+=1;item_spare_umbrella=CHR_cenyao,OBJ_spare_umbrella,分支对白块开始
S002,S002-031,dialogue,CHR_cenyao,你还真记。,碎句/试探,guarded,她先碰编号贴纸，没有拿伞,,,,,,,,,voice_cenyao,物件确认
S002,S002-032,dialogue,CHR_shaoning,丢了扣我钱。写姓。,算账/请求,neutral,邵宁从登记簿背面撕下一张便签,,,,,,,,,voice_shaoning,用制度换姓
S002,S002-033,dialogue,CHR_cenyao,岑。,半句/让步,blank,她终于握住伞柄，只握最外端,,,,,,,,flag_cenyao_surname=true,SEC_cenyao_surname_matches_old_record,姓氏露出
S002,S002-034,dialogue,CHR_shaoning,哪个岑。,登记/追问,hard,他没有抬头，笔尖停在纸上,,,,,,,,,voice_shaoning,不逼全名
S002,S002-035,dialogue,CHR_cenyao,山今。名别写。,碎句/边界,guarded,她把伞往自己那边拉半寸,,,,,,,,,voice_cenyao,边界
S002,S002-036,dialogue,CHR_shaoning,名不用。,短句/承诺,neutral,邵宁只写了一个字，便签压在掌下,,,,,,,,,voice_shaoning,留空
S002,S002-037,dialogue,CHR_cenyao,你倒会留空。,刺人/松动,wet,她把票根从袖口里抽出来一点,,,,,,,,,voice_cenyao,信任细缝
S002,S002-038,narration,,伞面弹开，雨水甩到黄线外。玻璃上的人影被伞骨切碎。,,,岑遥退到线外，票根还在她掌心,,,umbrella_pop,,,,,,OBJ_spare_umbrella,分支后果
S002,S002-039,command,,jumpLabel:S002_END;,,,,,,,,,,,,,分支结束
S002,S002-040,command,,label:S002_TICKET;,,,,,,,,,,,,,WebGAL 标签
S002,S002-041,dialogue,CHR_shaoning,票根贴玻璃上。只露日期。,限制承诺,hard,他把手机放低，镜头朝向地砖,,,,,,,,evidence_ticket_photo=true,OBJ_wet_ticket,分支对白块开始
