scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S001,S001_0001,command,,label:S001_雨袋架旁边,,,,,,,,,,,,,runtime label
S001,S001_0002,command,,@bg 便利店_夜_雨,,,background change,便利店_夜_雨,,,,,,,,,production cue
S001,S001_0003,command,,@bgm 雨夜低频,,,music cue,,雨夜低频,,,,,,,,production cue
S001,S001_0004,command,,@sfx 自动门叮咚,,,sound cue,,,自动门叮咚,,,,,,,production cue
S001,S001_0005,narration,,雨从自动门底下贴进来，先湿了脚垫，再湿了“请勿滑倒”的黄色贴纸。,,,visible narration from readable source,,,,,,,,,,click_function=screen_state_or_action
S001,S001_0006,narration,,我把雨伞套的纸牌扶正。,,,visible narration from readable source,,,,,,,,,,click_function=screen_state_or_action
S001,S001_0007,narration,,纸牌歪回去，像夜班也有自己的脾气。,,,visible narration from readable source,,,,,,,,,,click_function=screen_state_or_action
S001,S001_0008,dialogue,CHR_jiangchi,欢迎光——,CHR_jiangchi,,dialogue beat in readable source,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure
S001,S001_0009,dialogue,CHR_linyan,先别欢迎。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0010,dialogue,CHR_linyan,我现在听见“欢迎光临”四个字，会怀疑自己又要被推销第二件半价。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0011,dialogue,CHR_linyan,还有，你们这个雨袋架站得好端正喔，像班主任派来监督我淋雨。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0012,dialogue,CHR_linyan,所以我先问清楚，便利店有没有把雨收起来的服务？有的话我办会员，没有的话我投诉天气。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0013,narration,,她站在门口，没有看热饮柜，也没有看关东煮。,,,visible narration from readable source,,,,,,,,,,click_function=screen_state_or_action
S001,S001_0014,narration,,她先看雨袋架下面的失物箱。,,,visible narration from readable source,,,,,,,,,,click_function=screen_state_or_action
S001,S001_0015,thought,CHR_jiangchi,（她先找失物箱。柜台、热饮、我，全排在后面。）,private_inference,,private thought pocket,,,,,,,,,CHR_jiangchi,click_function=private_thought_pocket
S001,S001_0016,thought,CHR_jiangchi,（要是箱子空着，她大概还得装作自己只是进来躲雨。）,private_inference,,private thought pocket,,,,,,,,,CHR_jiangchi,click_function=private_thought_pocket
S001,S001_0017,dialogue,CHR_jiangchi,雨伞套免费。,CHR_jiangchi,,dialogue beat in readable source,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure
S001,S001_0018,dialogue,CHR_jiangchi,雨不能收。,CHR_jiangchi,,dialogue beat in readable source,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure
S001,S001_0019,dialogue,CHR_jiangchi,失物箱可以看，但先说清楚，拿错东西要登记。,CHR_jiangchi,,dialogue beat in readable source,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure
S001,S001_0020,dialogue,CHR_linyan,哇，你这个人从“欢迎光临”到“拿错登记”，中间少了人类过渡欸。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0021,narration,,她把湿伞靠在架子旁。,,,visible narration from readable source,,,,,,,,,,click_function=screen_state_or_action
S001,S001_0022,narration,,伞柄缠着透明胶，胶带边缘翘起一小截。,,,visible narration from readable source,,,,,,,,,,click_function=screen_state_or_action
S001,S001_0023,dialogue,CHR_linyan,我要找一把蓝伞。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0024,dialogue,CHR_linyan,旧的，伞骨左偏，撑开会往人行道那边歪，像它也不想上晚自习。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0025,dialogue,CHR_linyan,手柄上有一圈透明胶，胶下面有一小块牙印。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0026,dialogue,CHR_linyan,先声明，是小时候的牙印。现在的我很成熟，最多咬笔盖，不咬伞。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0027,dialogue,CHR_linyan,你如果笑，我就把你们收银机命名成“铁算盘一号”，每天路过都骂它。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0028,command,,@sfx 收银机滴,,,sound cue,,,收银机滴,,,,,,,production cue
S001,S001_0029,dialogue,CHR_jiangchi,它已经听见了。,CHR_jiangchi,,dialogue beat in readable source,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure
S001,S001_0030,dialogue,CHR_linyan,那正好，叫它保密。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0031,narration,,我拉出失物本。,,,visible narration from readable source,,,,,,,,,,click_function=screen_state_or_action
S001,S001_0032,narration,,纸页被便利店的空调吹得翻了一下，停在昨天的雨伞记录旁边。,,,visible narration from readable source,,,,,,,,,,click_function=screen_state_or_action
S001,S001_0033,dialogue,CHR_jiangchi,找伞要写四项。,CHR_jiangchi,,dialogue beat in readable source,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure
S001,S001_0034,dialogue,CHR_jiangchi,姓名，联系方式，物品特征，遗失时间。,CHR_jiangchi,,dialogue beat in readable source,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure
S001,S001_0035,dialogue,CHR_jiangchi,特征越丢脸，找回来的概率越高。,CHR_jiangchi,,dialogue beat in readable source,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure
S001,S001_0036,dialogue,CHR_linyan,你这个安慰方式，刚从冷柜里拿出来的吧？,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0037,dialogue,CHR_jiangchi,这是经验。,CHR_jiangchi,,dialogue beat in readable source,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure
S001,S001_0038,dialogue,CHR_linyan,经验先生，你刚才说过“牙印越丢脸越有用”？,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0039,dialogue,CHR_jiangchi,差不多。,CHR_jiangchi,,dialogue beat in readable source,,,,,,,,,CHR_jiangchi,click_function=dialogue_pressure
S001,S001_0040,dialogue,CHR_linyan,好，那你写。写大一点。写得让偷伞的人看一眼就心虚。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0041,narration,,她把笔拍到柜台上，拍完又悄悄把笔往我这边推了半厘米。,,,visible narration from readable source,,,,,,,,,,click_function=screen_state_or_action
S001,S001_0042,dialogue,CHR_linyan,名字，林檐。树林的林，屋檐的檐。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
S001,S001_0043,dialogue,CHR_linyan,别问哪个檐，就是雨落下来会先撞到的那个。,CHR_linyan,,dialogue beat in readable source,,,,,,,,,CHR_linyan,click_function=dialogue_pressure
