scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S001,S001R3-001,command,,changeBg:bg_station_night_rain.png,,,,bg_station_night_rain.png,rain_shift.ogg,,,,,,,,开场
S001,S001R3-002,narration,,值班室的白灯刷得人眼酸。交班表压在杯垫下面，边角泡软了。,,,邵宁把工牌拨正，拇指擦过对讲机侧键,,rain_shift.ogg,fluorescent_hum,,,,,,core_theme,场景块
S001,S001R3-003,narration,,闸机屏又亮红。末班后的进站记录停在二十三点五十八分。,,,登记簿摊在桌角，最后几页被潮气顶起,,,,,,,,,OBJ_turnstile_screen,异常记录
S001,S001R3-004,dialogue,CHR_shaoning,站住。鞋底在滴水。,流程/短令,hard,邵宁站在门侧，挡住半个进站口,,,,,,,,,voice_shaoning,先控场
S001,S001R3-005,dialogue,CHR_cenyao,我没进站台。,碎句/先否认,wet,岑遥低头看鞋尖，水从裤脚往下滴,,,,,,,,,voice_cenyao,错位回答
S001,S001R3-006,dialogue,CHR_shaoning,证件。,短句/流程,hard,他把登记栏翻到空白页,,,,,,,,,voice_shaoning,职业动作
S001,S001R3-007,dialogue,CHR_cenyao,没带。,碎句/删主语,guarded,她把右手藏到袖口里,,,,,,,,,voice_cenyao,防备
S001,S001R3-008,dialogue,CHR_shaoning,没带就报名字。,流程/命令,hard,邵宁的笔尖停在姓名栏,,,,,,,,,voice_shaoning,压流程
S001,S001R3-009,dialogue,CHR_cenyao,你先别写！,破防/急,wet,岑遥往前半步，袖口里的票根露出一角,,,,,,,,,voice_cenyao,第一次失控
S001,S001R3-010,dialogue,CHR_shaoning,门锁落了。你从哪扇门进来的？,追问/卡退路,hard,他看了一眼门磁灯，再看她的鞋底,,,,,,,,,voice_shaoning,问号施压
S001,S001R3-011,dialogue,CHR_cenyao,你们站里有几扇门？,反问/试探,guarded,她抬头一下，又去看闸机屏,,,,,,,,,voice_cenyao,转移入口
S001,S001R3-012,dialogue,CHR_shaoning,我问门，不问谜语。,低耐心/硬,hard,邵宁把报警流程卡从抽屉里抽出一半,,,,,,,,,voice_shaoning,压回流程
S001,S001R3-013,dialogue,CHR_cenyao,那就别问门。问纸。,错位/诱导,wet,她用袖口把票根又按回掌心,,,,,,,,,voice_cenyao,拉向登记簿
S001,S001R3-014,dialogue,CHR_shaoning,什么纸？,追问/短促,hard,笔尖敲了一下登记栏,,,,,,,,,voice_shaoning,短问
S001,S001R3-015,dialogue,CHR_cenyao,登记簿。旧的。,碎句/给线索,guarded,她看桌角，不看邵宁,,,,,,,,,voice_cenyao,给最小信息
S001,S001R3-016,dialogue,CHR_shaoning,年份。,省略/命令,hard,邵宁把登记簿往自己这边拖了两厘米,,,,,,,,,voice_shaoning,逼具体
S001,S001R3-017,dialogue,CHR_cenyao,你先别开监控……,吞字/害怕,blank,岑遥的声音压低，手指掐住票根边,,,,,,,,,voice_cenyao,吞掉原因
S001,S001R3-018,narration,,热水壶在角落里跳了一下，壶盖顶住蒸汽又落回去。,,,邵宁没有回头，手指却离开报警流程卡,,,kettle_hiss,,,,,,OBJ_kettle,打断对白
S001,S001R3-019,dialogue,CHR_shaoning,你知道监控在哪儿？,追问/怀疑,alert,他把对讲机扣回腰侧,,,,,,,,,voice_shaoning,怀疑升级
S001,S001R3-020,dialogue,CHR_cenyao,知道它会少一段。,低声/线索,blank,岑遥把下巴缩进湿外套领口,,,,,,,,,voice_cenyao,抛线索
S001,S001R3-021,dialogue,CHR_shaoning,谁教你的？,短问/追源,hard,邵宁把笔扣上，又拔开,,,,,,,,,voice_shaoning,追人
S001,S001R3-022,dialogue,CHR_cenyao,吃过亏的人。,刺人/不点名,guarded,她盯着他胸口的工牌,,,,,,,,,voice_cenyao,刺旧伤
S001,S001R3-023,dialogue,CHR_shaoning,我没问人群。,硬/纠偏,hard,邵宁把工牌按住,,,,,,,,,voice_shaoning,被刺后压回
S001,S001R3-024,dialogue,CHR_cenyao,那你问我啊。,挑衅/反推,guarded,她终于抬眼，眼里没有笑,,,,,,,,,voice_cenyao,逼他越界
S001,S001R3-025,dialogue,CHR_shaoning,你叫什么。,流程/危险,hard,姓名栏空着，笔尖悬在第一格,,,,,,,,,voice_shaoning,核心逼问
S001,S001R3-026,dialogue,CHR_cenyao,写岑。,碎句/退让,wet,她把票根贴在掌心，没有递出,,,,,,,,,voice_cenyao,只给姓
S001,S001R3-027,dialogue,CHR_shaoning,名。,省略/硬,hard,邵宁没有落笔,,,,,,,,,voice_shaoning,继续施压
S001,S001R3-028,dialogue,CHR_cenyao,名先空着。你也把工牌翻过去了，对吧？,刺人/观察,guarded,她看他的胸口，不看脸；邵宁把工牌按住,,,,,,,,,voice_cenyao,反击
S001,S001R3-029,choice,,,,,,,,,C001,先翻纸质登记簿,S001_REGISTER,,flag_checked_register_first=true;trust_cenyao+=1,OBJ_register,低风险近身
S001,S001R3-030,choice,,,,,,,,,C001,先调监控备份,S001_MONITOR,,flag_checked_monitor_first=true;trust_cenyao-=1,OBJ_turnstile_screen,流程优先
S001,S001R3-031,command,,label:S001_REGISTER;,,,,,,,,,,,,,WebGAL标签
S001,S001R3-032,dialogue,CHR_shaoning,三分钟。到点我按流程。,承诺/限制,hard,他把报警流程卡扣在桌面下，没让她看见,,,,,,,,trust_cenyao+=1,voice_shaoning,给有限空间
S001,S001R3-033,dialogue,CHR_cenyao,三分钟够纸干吗？,反问/不接谢,wet,岑遥把票根攥在掌心，没有递出,,,,,,,,,voice_cenyao,谢意变刺
S001,S001R3-034,dialogue,CHR_shaoning,够你把手松开。,事实/短促,neutral,邵宁把登记簿转到两人中间,,,,,,,,,voice_shaoning,实际关照
S001,S001R3-035,dialogue,CHR_cenyao,你别碰。,防备/半退,guarded,她的手缩回袖子里,,,,,,,,,voice_cenyao,防备
S001,S001R3-036,dialogue,CHR_shaoning,我碰簿子。你拿票根。,分工/流程,neutral,他把手停在纸页边缘，给她半格桌面,,,,,,,,,voice_shaoning,保护性流程
S001,S001R3-037,dialogue,CHR_cenyao,那你看清楚。二零二四下面，那道划线。,低声/交证据,blank,她用票根压住日期下方,,,,,,,,,voice_cenyao,信任推进
