"scene_id","beat_id","row_type","speaker","text","voice_target","expression","body_action","bg","bgm","sfx","choice_group","choice_text","choice_target","condition","effects","memory_refs","qa_notes"
"S001","SC001","command","","label:START","","","","","","","","","","","","",""
"S001","SC002","narration","","18:20，旧校服回收处只剩三箱没封，窗外的毕业横幅被晚风吹得贴在玻璃上。","","","镜头从窗边横幅推到折叠桌上的黄标签","bg_uniform_return_room_evening","bgm_after_graduation_room","sfx_evening_wind","","","","","","THR_label",""
"S001","SC003","narration","","48 号箱盖半开，蓝色借出牌夹在箱沿，缺了归还签名。","","","特写蓝色借出牌，孔边被按出白痕","bg_box_48","bgm_after_graduation_room","sfx_paper_card","","","","","","FS_blue_card;OBJ_blue_card",""
"S001","SC004","thought","CHR_linqiu","黄标签剩二十七张，回收车还有四十分钟。要是 48 号被问起来，表格会先咬我的手。","inner","guarded","林秋把胶带头折成小耳朵","bg_uniform_return_room_evening","bgm_after_graduation_room","sfx_tape_fold","","","","","","ARC_linqiu;THR_label",""
"S001","SC005","dialogue","CHR_taosheng","小林，三箱，四十分钟！胶带别省，省出三厘米也买不了奶茶！","phone","sharp","手机外放贴在折叠桌角，传来翻清单声","bg_uniform_return_room_table","bgm_after_graduation_room","sfx_phone_speaker","","","","","","ARC_taosheng;THR_teacher_box",""
"S001","SC006","dialogue","CHR_linqiu","听见了。黄牌小队还活着，胶带耳朵也折好了","report","dry","林秋用指腹压住标签边角","bg_uniform_return_room_table","bgm_after_graduation_room","sfx_label_press","","","","","","ARC_linqiu",""
"S001","SC007","dialogue","CHR_taosheng","少给物资起名！起名以后你就舍不得扔，去年那袋社徽就是证据。","phone","practical","电话里传来红章敲桌的声音","bg_uniform_return_room_table","bgm_after_graduation_room","sfx_stamp_phone","","","","","","ARC_taosheng",""
"S001","SC008","command","","stage:door_open_tape","","","门被推开，门把手上挂着半截封箱胶带，啪地弹回去","bg_uniform_return_room_door","bgm_after_graduation_room","sfx_door_tape_snap","","","","","","THR_borrowed_time",""
"S001","SC009","dialogue","CHR_tangmi","小秋官，箱子先生还没睡吧？我探望 48 号五分钟，友情价！","burst","bright","唐米抱着明信片袋冲进门，鞋跟踩着胶带尾巴","bg_uniform_return_room_door","bgm_after_graduation_room","sfx_bag_rustle","","","","","","ARC_tangmi;FS_blue_card",""
"S001","SC010","dialogue","CHR_linqiu","48 号已经入箱。探望需要预约，友情价也要签名？","rule","neutral","林秋把蓝借出牌往掌心里扣","bg_box_48","bgm_after_graduation_room","sfx_card_click","","","","","","ARC_linqiu;THR_label",""
"S001","SC011","dialogue","CHR_tangmi","预约系统看起来很黄，很可爱，很适合通融一下嘛？","tease","grin","唐米把明信片袋举到胸前，眼睛却看箱盖","bg_box_48","bgm_after_graduation_room","sfx_plastic_bag","","","","","","ARC_tangmi;OBJ_yellow_label",""
"S001","SC012","dialogue","CHR_linqiu","这张黄牌不吃撒娇。它只吃编号、去向和签名","dry_block","flat","林秋抽出一张黄标签，在桌面敲齐","bg_uniform_return_room_table","bgm_after_graduation_room","sfx_label_tap","","","","","","ARC_linqiu;OBJ_yellow_label",""
