scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S001,S001-001,command,,changeBg:bg_atm_glass_room_rain.png,,,,,,,,,,,screen_state,,
S001,S001-002,command,,bgm:atm_hum_rain_low.ogg,,,,,,,,,,,screen_state,,
S001,S001-003,narration,,凌晨三点，24小时自助银行的玻璃隔间。灯管白得发冷，外面积水漫过路沿。地砖上印着前一拨顾客的湿脚印。,,,,atm_hum_rain_low.ogg,,,,,,,OBJ_atm7,click_function=screen_state,
S001,S001-004,narration,,七号ATM屏幕卡在'请取回卡片'。吞卡提示灯每秒闪一次。,,,陆川把工具箱搁在脚边,,,atm_beep,,,,,,OBJ_atm7,click_function=screen_state
S001,S001-005,dialogue,CHR_luchuan,别闪了。三点零四，你也知道这个点没人来插队。,自言自语/干一行爱一行,neutral,蹲下，弹开工具箱扣,,,,,,,,voice_luchuan,click_function=voice_intro,
S001,S001-006,narration,,门口烟灰缸是满的。两个新鲜烟蒂，一根还在冒。,,,陆川看了一眼烟灰缸，六角扳手停在半空,,,,,,OBJ_ashtray,click_function=new_info+pressure,,,
S001,S001-007,thought,CHR_luchuan,（烟是十分钟以内的。三点的自助银行，谁会在门口抽完烟不进来。）,私人推断,tense,六角扳手在手里转了一下没放下,,,,,,,,OBJ_ashtray;stranger_trust,click_function=private_inference,
S001,S001-008,narration,,墙角有一个人。白色连帽衫塌在肩上，袖口往下滴水。脚边已经积了一小圈水。她站在摄像头下面——靠左半米，刚好被ATM侧板挡掉抓拍范围。,,,,,,,OBJ_camera;OBJ_atm7,click_function=screen_state+new_info,,,,,
S001,S001-009,thought,CHR_luchuan,（她知道盲区在哪。不是第一次来。）,私人推断,tense,陆川把六角扳手放进工具箱，站直,,,,,,,,hidden_wait;OBJ_camera,click_function=private_inference,
S001,S001-010,dialogue,CHR_luchuan,小姐，这里是自助银行。取钱插卡，躲雨去对面便利店。,规程/试探,hard,手电筒照了一下墙角，光在女孩湿头发上弹开,,,,,,,,voice_luchuan,click_function=reply_pressure,
S001,S001-011,dialogue,CHR_shiyao,哇你这个人——开口就叫小姐，请问你是居委会还是派出所呀？,轻快/反击,smile,缩了一下脖子，袖口的水滴得更快了,,,,,,,,voice_shiyao,click_function=dodge+liveliness,
S001,S001-012,dialogue,CHR_luchuan,设备巡查。三点半前要清场。,短答/规程,neutral,把手电筒关了，工具箱扣合上一半,,,,,,,,OBJ_toolbox,click_function=reply_pressure+deadline,
S001,S001-013,dialogue,CHR_shiyao,那现在三点零几分？,拖延/讨价,smile,头歪了一下，雨水从刘海滑到嘴角,,,,,,,,voice_shiyao,click_function=stall,
S001,S001-014,dialogue,CHR_luchuan,三点零八。,报时/让步,neutral,低头看表时，余光还在她身上,,,,,,,,OBJ_atm7,click_function=new_info,
