scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S001,S001_delivery_0001,command,,label:S001_冰箱先生今天也不收情书,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md
S001,S001_delivery_0002,narration,,粉色便签卡在社团冰箱的门缝里。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0003,narration,,我发现它时，第一节课预备铃还没响，活动室里只有冰箱的嗡声和没擦干净的白板。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0004,narration,,便签折得很小，外面画着一颗草莓，还有一个表情严肃的冰箱。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0005,narration,,我把它夹进账本第三页，笔尖停在“违规物”三个字后面。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0006,narration,,冰箱嗡了一声。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0007,narration,,嗯……当然？它应该没有抗议功能。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0008,narration,,上周冷藏层里那半盒无名章鱼烧，才更有资格抗议。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0009,narration,,三天后，整个活动室都记住了章鱼烧的晚年气味。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0010,narration,,所以冰箱门上原本只有两条守则。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0011,narration,,食物贴名。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0012,narration,,过期自理。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0013,narration,,今天早上，我补了第三条。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0014,narration,,禁止恋爱便签。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0015,narration,,写完后，我盯着“恋爱”两个字看了三秒。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0016,narration,,又把它改成：禁止非冷藏便签。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0017,thought,CHR_gu_huai,嗯。这个修订看起来比较像财务意见。,,,,,,,,,,,,CHR_gu_huai,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=private_inference_or_relaxation
S001,S001_delivery_0018,thought,CHR_gu_huai,虽然冰箱大概还是看得出来吧。,,,,,,,,,,,,CHR_gu_huai,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=private_inference_or_relaxation
S001,S001_delivery_0019,narration,,便签上的草莓画得有点歪，冰箱脸却画得很正经。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0020,narration,,这种画法，文艺部只有一个人会理直气壮地说自己是在写实。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0021,narration,,夏梨。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0022,narration,,她负责社团海报，顺手给扫帚、订书机和过期酸奶都起过名字。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0023,narration,,长桌上摊着社费账本、标签纸和红色小印章。有人总得防止冰箱继续收留危险物品。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0024,narration,,活动室门被推开一条缝。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0025,narration,,一枚草莓发卡先探进来。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0026,dialogue,CHR_xia_li,报告顾会计，冰箱先生委托我提出紧急抗议！,,,,,,,,,,,,CHR_xia_li,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=reply_pressure
S001,S001_delivery_0027,narration,,她抱着两盒草莓牛奶进门，袖口还沾着一点白板笔灰。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0028,dialogue,CHR_xia_li,它说自己今天早上遭遇了情感执法。,,,,,,,,,,,,CHR_xia_li,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=reply_pressure
S001,S001_delivery_0029,dialogue,CHR_xia_li,被没收一封信，还被贴上“禁止恋爱便签”的冷酷标签。,,,,,,,,,,,,CHR_xia_li,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=reply_pressure
S001,S001_delivery_0030,dialogue,CHR_xia_li,它现在压缩机很受伤，制冷效率都变得孤独了。,,,,,,,,,,,,CHR_xia_li,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=reply_pressure
S001,S001_delivery_0031,dialogue,CHR_gu_huai,冰箱没有委托权。,,,,,,,,,,,,CHR_gu_huai,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=reply_pressure
S001,S001_delivery_0032,dialogue,CHR_gu_huai,压缩机也不会孤独。,,,,,,,,,,,,CHR_gu_huai,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=reply_pressure
S001,S001_delivery_0033,dialogue,CHR_gu_huai,草莓牛奶先登记。,,,,,,,,,,,,CHR_gu_huai,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=reply_pressure
S001,S001_delivery_0034,dialogue,CHR_xia_li,你看，你又来了。,,,,,,,,,,,,CHR_xia_li,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=reply_pressure
S001,S001_delivery_0035,dialogue,CHR_xia_li,别人听见冰箱伤心，会先安慰。,,,,,,,,,,,,CHR_xia_li,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=reply_pressure
S001,S001_delivery_0036,dialogue,CHR_xia_li,顾会计听见冰箱伤心，只会问它有没有填表。,,,,,,,,,,,,CHR_xia_li,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=reply_pressure
S001,S001_delivery_0037,narration,,她把草莓牛奶放到桌上，盒角对齐，故意推到我账本旁边。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0038,narration,,两盒。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0039,narration,,一盒写着“夏梨”。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0040,narration,,另一盒贴着空白标签。,,,,,,,,,,,,,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=screen_state
S001,S001_delivery_0041,dialogue,CHR_gu_huai,第二盒无名。,,,,,,,,,,,,CHR_gu_huai,source=社团冰箱禁止恋爱_第一人称引出版_20260624.md; click_function=reply_pressure
